Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25131    1.0843178e+02   0.000000e+00   2.504493e+02      5s
   34682    1.6975231e+02   0.000000e+00   2.459889e+02     10s
   43886    1.9373745e+02   0.000000e+00   1.233126e+02     15s
   53090    2.0473606e+02   0.000000e+00   5.025274e+02     20s
   61940    2.2701645e+02   0.000000e+00   2.772385e+02     25s
   69013    2.3969702e+02   0.000000e+00   1.120481e+02     30s
   74457    2.4666214e+02   0.000000e+00   1.086119e+02     35s
   80033    2.5189401e+02   0.000000e+00   1.065496e+02     40s
   88529    3.1009885e+02   0.000000e+00   1.027269e+02     45s
   95078    3.5492918e+02   0.000000e+00   9.983565e+01     50s
  101096    3.8985229e+02   0.000000e+00   9.889043e+01     55s
  106753    4.0892396e+02   0.000000e+00   9.945559e+01     60s
  111975    4.2824315e+02   0.000000e+00   9.598717e+01     65s
  116931    4.5499284e+02   0.000000e+00   1.012146e+02     70s
  122064    4.7901802e+02   0.000000e+00   9.161266e+01     75s
  128967    5.0997873e+02   0.000000e+00   9.285152e+01     80s
  135693    5.7586214e+02   0.000000e+00   8.632621e+01     85s
  140826    6.0087806e+02   0.000000e+00   8.549988e+01     90s
  146136    6.2440668e+02   0.000000e+00   9.949589e+01     95s
  150554    6.3010471e+02   0.000000e+00   8.366838e+01    100s
  153846    6.3704002e+02   0.000000e+00   8.312466e+01    105s
  157386    6.5140559e+02   0.000000e+00   8.350804e+01    110s
  161030    6.5586414e+02   0.000000e+00   9.011454e+01    115s
  164715    6.6230421e+02   0.000000e+00   9.173280e+01    120s
  168786    6.7964187e+02   0.000000e+00   8.087667e+01    125s
  173565    7.0143792e+02   0.000000e+00   7.729256e+01    130s
