Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 105043 rows, 36115 columns and 456651 nonzeros
Model fingerprint: 0x9d63db96
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+03]
Presolve removed 2337 rows and 2331 columns
Presolve time: 2.75s
Presolved: 102706 rows, 33784 columns, 378561 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 6768 integer (6768 binary)
Found heuristic solution: objective 261.3478380

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25475   -0.0000000e+00   0.000000e+00   9.545844e+01      5s
   36340    2.2500000e+00   0.000000e+00   9.420997e+01     10s
   44950    9.0000000e+00   0.000000e+00   9.818398e+01     15s
   53355    1.5750000e+01   0.000000e+00   1.288390e+02     20s
   61965    2.1000000e+01   0.000000e+00   9.830988e+01     25s
   70370    2.6000000e+01   0.000000e+00   1.895338e+02     30s
   78980    7.7030303e+01   0.000000e+00   9.746602e+01     35s
   86975    1.3186111e+02   0.000000e+00   9.185421e+01     40s
   94765    1.6800000e+02   0.000000e+00   1.241191e+02     45s
  102350    1.9920000e+02   0.000000e+00   9.340951e+01     50s
  109730    2.0355000e+02   0.000000e+00   1.009190e+02     55s
  117110    2.0570455e+02   0.000000e+00   9.475050e+01     60s
  124695    2.6652083e+02   0.000000e+00   9.285512e+01     65s
  131460    3.0489286e+02   0.000000e+00   1.150024e+02     70s
  138020    3.1110714e+02   0.000000e+00   1.009321e+02     75s
  144580    3.2027585e+02   0.000000e+00   6.812725e+02     80s
  150410    4.0441287e+02   0.000000e+00   1.761445e+02     85s
  154880    4.0519319e+02   0.000000e+00   9.054430e+01     90s
  161650    4.1544846e+02   0.000000e+00   8.597617e+01     95s
  165375    4.5946271e+02   0.000000e+00   8.524481e+01    100s
  169045    5.0147753e+02   0.000000e+00   1.330890e+02    105s
  172515    5.2874007e+02   0.000000e+00   2.031478e+02    110s
  175980    5.6050507e+02   0.000000e+00   9.687466e+01    115s
  179450    5.8752138e+02   0.000000e+00   8.784958e+01    120s
  182570    6.0528574e+02   0.000000e+00   9.778968e+01    125s
  185775    6.2480596e+02   0.000000e+00   1.980840e+02    130s
  188695    6.3507074e+02   0.000000e+00   3.936348e+02    135s
  191675    6.3684113e+02   0.000000e+00   1.251856e+02    140s
  194545    6.3861338e+02   0.000000e+00   2.043182e+02    145s
  197315    6.3864072e+02   0.000000e+00   3.650387e+02    150s
  200295    6.3866951e+02   0.000000e+00   6.501805e+02    155s
  203235    6.3871440e+02   0.000000e+00   8.328210e+02    160s
  206155    6.3877021e+02   0.000000e+00   4.186371e+02    165s
  208915    6.3882721e+02   0.000000e+00   5.589597e+02    170s
  211825    6.3890701e+02   0.000000e+00   6.482242e+02    175s
  214655    6.3897060e+02   0.000000e+00   1.249786e+03    180s
  217525    6.3905372e+02   0.000000e+00   4.429093e+02    185s
  220655    6.3920966e+02   0.000000e+00   4.650929e+02    190s
  223925    6.3937542e+02   0.000000e+00   5.131155e+02    195s
  227335    6.3955157e+02   0.000000e+00   9.859577e+02    200s
  230635    6.3977416e+02   0.000000e+00   5.446923e+02    205s
  234435    6.4096021e+02   0.000000e+00   2.013274e+03    210s
  238535    6.4175543e+02   0.000000e+00   7.441783e+02    215s
  241925    1.2015459e+03   0.000000e+00   1.902969e+03    220s
  245195    1.2019732e+03   0.000000e+00   2.706198e+03    225s
  248175    1.2020824e+03   0.000000e+00   4.347639e+02    230s
  251465    1.2036587e+03   0.000000e+00   7.989924e+01    235s
  254080    1.2051638e+03   0.000000e+00   1.182099e+02    240s
  256630    1.2096684e+03   0.000000e+00   7.528117e+01    245s
  259160    1.2166738e+03   0.000000e+00   8.433814e+01    250s
  261900    1.2211815e+03   0.000000e+00   1.555165e+02    255s
  264600    1.2221915e+03   0.000000e+00   7.977185e+01    260s
  267280    1.2237044e+03   0.000000e+00   1.427319e+02    265s
  269860    1.2703547e+03   0.000000e+00   2.812455e+02    270s
  272400    1.2703739e+03   0.000000e+00   8.698384e+01    275s
