Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 429175 rows, 141499 columns and 2049532 nonzeros
Model fingerprint: 0x648aec1a
Variable types: 96016 continuous, 45483 integer (45483 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+03]
Presolve removed 48 rows and 45 columns (presolve time = 5s) ...
Presolve removed 48 rows and 45 columns (presolve time = 10s) ...
Presolve removed 3978 rows and 3975 columns (presolve time = 15s) ...
Presolve removed 3993 rows and 3975 columns (presolve time = 20s) ...
Presolve removed 10161 rows and 10143 columns (presolve time = 25s) ...
Presolve removed 10161 rows and 10143 columns (presolve time = 30s) ...
Presolve removed 51121 rows and 20383 columns (presolve time = 47s) ...
Presolve removed 51121 rows and 20383 columns
Presolve time: 47.39s
Presolved: 378054 rows, 121116 columns, 1564000 nonzeros
Variable types: 85776 continuous, 35340 integer (35340 binary)
Found heuristic solution: objective 610.0000000
Found heuristic solution: objective 2463.9684107

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   2.600000e+01   5.851591e+07     67s
   90003    2.4646524e+03   0.000000e+00   1.727295e+05     71s
   91091    2.4648698e+03   0.000000e+00   1.890092e+05     76s
   91741    2.4655350e+03   0.000000e+00   3.023065e+05     81s
   92401    2.4664604e+03   0.000000e+00   3.351723e+05     85s
   92861    2.4669438e+03   0.000000e+00   6.214624e+05     92s
   93061    2.4672448e+03   0.000000e+00   1.461016e+06     95s
   93521    2.4681225e+03   0.000000e+00   5.314746e+05    102s
   93701    2.4685164e+03   0.000000e+00   6.234959e+05    106s
   94061    2.4695370e+03   0.000000e+00   8.378331e+05    114s
   94231    2.4697937e+03   0.000000e+00   6.325721e+05    118s
   94391    2.4699778e+03   0.000000e+00   6.727846e+05    121s
   94551    2.4703082e+03   0.000000e+00   3.973946e+05    125s
   94871    2.4706174e+03   0.000000e+00   3.501596e+05    133s
   95031    2.4708479e+03   0.000000e+00   2.641904e+06    137s
   95191    2.4711125e+03   0.000000e+00   1.968861e+06    141s
   95351    2.4713067e+03   0.000000e+00   9.093166e+05    145s
   95671    2.4717482e+03   0.000000e+00   8.402748e+05    154s
   95831    2.4719207e+03   0.000000e+00   2.291586e+06    158s
   95991    2.4721097e+03   0.000000e+00   3.847126e+06    163s
   96151    2.4723013e+03   0.000000e+00   1.297646e+06    168s
   96291    2.4724701e+03   0.000000e+00   4.155944e+05    172s
   96451    2.4726254e+03   0.000000e+00   6.583759e+05    176s
