approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
IPW,data_train_enc_0.1_1,3000,1,100,3600,2,1584.040399,0,2.349406004,469,84.36666667,14.2,210,84.84848485,14.79076479,tree
IPW,data_train_enc_0.1_1,3000,2,100,3600,2,1594.965302,0,15.92951655,437,85.43333333,14.06666667,197,85.78643579,14.93506494,tree
IPW,data_train_enc_0.1_1,3000,3,100,3600,2,1620.204958,0.009220755,3538.202528,391,86.96666667,13.53333333,180,87.01298701,14.71861472,tree
IPW,data_train_enc_0.1_1,3000,4,100,3600,9,1630.572436,3.901587998,3623.380662,382,87.26666667,13.63333333,178,87.15728716,14.71861472,tree
IPW,data_train_enc_0.1_2,3000,1,100,3600,2,1691.934181,0,1.773109198,458,84.73333333,14.53333333,221,84.05483405,14.06926407,tree
IPW,data_train_enc_0.1_2,3000,2,100,3600,2,1712.957976,0,13.26062489,425,85.83333333,14.8,213,84.63203463,13.92496392,tree
IPW,data_train_enc_0.1_2,3000,3,100,3600,9,1741.867036,0.890884787,3612.935843,396,86.8,14.53333333,198,85.71428571,13.70851371,tree
IPW,data_train_enc_0.1_2,3000,4,100,3600,9,1752.238759,4.918595353,3622.674731,347,88.43333333,14,183,86.7965368,13.2034632,tree
IPW,data_train_enc_0.1_3,3000,1,100,3600,2,1621.7433,0,1.829777956,479,84.03333333,15,200,85.56998557,13.05916306,tree
IPW,data_train_enc_0.1_3,3000,2,100,3600,2,1645.969307,0,16.0027976,474,84.2,15.83333333,202,85.42568543,13.49206349,tree
IPW,data_train_enc_0.1_3,3000,3,100,3600,2,1679.098878,0,2545.062317,404,86.53333333,15,173,87.51803752,12.6984127,tree
IPW,data_train_enc_0.1_3,3000,4,100,3600,9,1686.899739,4.90416381,3624.284602,407,86.43333333,15.13333333,167,87.95093795,12.40981241,tree
IPW,data_train_enc_0.1_4,3000,1,100,3600,2,1699.262269,0,1.823199749,457,84.76666667,14.4,222,83.98268398,14.35786436,tree
IPW,data_train_enc_0.1_4,3000,2,100,3600,2,1720.717776,0.00728729,9.189834356,418,86.06666667,14.3,216,84.41558442,14.43001443,tree
