approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
FlowOPT,data_train_enc_1,2000,0,100,3600,2,482.7000374,0,0.11468792,897,55.15,25.85,1105,53.68818106,26.73931266,1
FlowOPT,data_train_enc_1,2000,1,100,3600,2,558.1312874,0,1.535287142,733,63.35,22.75,872,63.45347863,23.72170997,1
FlowOPT,data_train_enc_1,2000,2,100,3600,2,572.2848085,0,8.825113058,725,63.75,22.9,867,63.66303437,23.47024308,1
FlowOPT,data_train_enc_2,2000,0,100,3600,2,470.6023707,0,0.14847517,937,53.15,27.85,1065,55.36462699,25.06286672,1
FlowOPT,data_train_enc_2,2000,1,100,3600,2,584.9510416,0,1.286026955,786,60.7,25.4,934,60.85498743,23.26068734,1
FlowOPT,data_train_enc_2,2000,2,100,3600,2,601.6864652,0,7.433589935,742,62.9,24.05,855,64.16596815,22.38055323,1
FlowOPT,data_train_enc_3,2000,0,100,3600,2,441.385902,0,0.144844055,881,55.95,25.55,1121,53.01760268,26.99077955,1
FlowOPT,data_train_enc_3,2000,1,100,3600,2,502.9407407,0,1.328686953,740,63,22.85,865,63.74685666,23.63788768,1
FlowOPT,data_train_enc_3,2000,2,100,3600,2,517.1328554,0,9.500939846,711,64.45,22.6,862,63.87259011,23.47024308,1
FlowOPT,data_train_enc_4,2000,0,100,3600,2,445.5052014,0,0.145878077,907,54.65,25.7,1095,54.10729254,26.8650461,1
FlowOPT,data_train_enc_4,2000,1,100,3600,2,549.0535225,0,1.294141054,735,63.25,23.2,870,63.53730092,23.34450964,1
FlowOPT,data_train_enc_4,2000,2,100,3600,2,569.811525,0,6.527054071,737,63.15,23.65,885,62.9086337,23.09304275,1
FlowOPT,data_train_enc_5,2000,0,100,3600,2,493.0766839,0,0.142575741,893,55.35,26.15,1109,53.52053646,26.48784577,1
FlowOPT,data_train_enc_5,2000,1,100,3600,2,583.6816062,0,1.50977087,727,63.65,23.3,878,63.20201174,23.26068734,1
FlowOPT,data_train_enc_5,2000,2,100,3600,2,591.1268903,0,11.42973733,737,63.15,23.9,930,61.02263202,24.39228835,1
