approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
FlowOPT,data_train_enc_1,2000,0,100,3600,2,1510.262174,0,0.122724056,897,55.15,43.1,1105,53.68818106,41.95305951,1
FlowOPT,data_train_enc_1,2000,1,100,3600,2,1673.574636,0,5.457045078,782,60.9,45,938,60.68734283,45.13830679,1
FlowOPT,data_train_enc_1,2000,2,100,3600,2,1760.401908,0,115.3053939,782,60.9,44.45,993,58.38222967,43.75523889,1
FlowOPT,data_train_enc_2,2000,0,100,3600,2,1505.259966,0,0.152060986,937,53.15,41.95,1065,55.36462699,42.91701593,1
FlowOPT,data_train_enc_2,2000,1,100,3600,2,1677.320043,0,5.303743124,786,60.7,45.65,934,60.85498743,44.59346186,1
FlowOPT,data_train_enc_2,2000,2,100,3600,2,1773.974651,0,175.6551151,853,57.35,44.5,1054,55.82564962,42.2883487,1
FlowOPT,data_train_enc_3,2000,0,100,3600,2,1551.944099,0,0.127532959,881,55.95,43.4,1121,53.01760268,41.70159262,1
FlowOPT,data_train_enc_3,2000,1,100,3600,2,1728.525716,0,5.421687126,763,61.85,46.15,957,59.89103101,44.17435038,1
FlowOPT,data_train_enc_3,2000,2,100,3600,2,1827.763091,0,171.3503783,747,62.65,46.5,950,60.18440905,43.503772,1
FlowOPT,data_train_enc_4,2000,0,100,3600,2,1485.268263,0,0.138288736,907,54.65,41.8,1095,54.10729254,43.04274937,1
FlowOPT,data_train_enc_4,2000,1,100,3600,2,1632.689742,0,6.086977005,735,63.25,44.8,870,63.53730092,46.14417435,1
FlowOPT,data_train_enc_4,2000,2,100,3600,2,1695.724365,0,108.0751801,838,58.1,43.5,1040,56.4124057,44.8868399,1
FlowOPT,data_train_enc_5,2000,0,100,3600,2,1529.787989,0,0.148515224,893,55.35,42.8,1109,53.52053646,42.2045264,1
FlowOPT,data_train_enc_5,2000,1,100,3600,2,1688.395293,0,7.803400993,766,61.7,44.9,954,60.01676446,45.22212909,1
FlowOPT,data_train_enc_5,2000,2,100,3600,2,1769.420351,0,102.387713,771,61.45,45.4,981,58.88516345,44.42581727,1
