,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.5,1068,55.238893545683155,34.07376362112322,934,53.300000000000004,32.7,"branching = {}, treatments = {1: 1}"
1,1,2,0.5,866,63.70494551550713,33.151718357082984,739,63.05,33.900000000000006,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
2,1,3,0.5,847,64.50125733445097,33.78038558256497,706,64.7,33.35,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
3,2,1,0.5,1114,53.31098072087175,33.82229673093043,888,55.60000000000001,33.0,"branching = {}, treatments = {1: 1}"
4,2,2,0.5,888,62.78290025146689,33.57082984073764,717,64.14999999999999,33.4,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
5,2,3,0.5,864,63.788767812238056,33.82229673093043,704,64.8,33.35,"branching = {1: 1, 2: 25, 3: 16}, treatments = {4: 1, 5: 0, 6: 1, 7: 2}"
6,3,1,0.5,1080,54.73595976529757,34.325230511316015,922,53.900000000000006,32.4,"branching = {}, treatments = {1: 1}"
7,3,2,0.5,878,63.202011735121545,34.07376362112322,727,63.65,32.800000000000004,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
8,3,3,0.5,843,64.66890192791283,33.906119027661354,710,64.5,33.2,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
9,4,1,0.5,1092,54.23302598491199,33.44509639564124,910,54.50000000000001,33.45,"branching = {}, treatments = {1: 1}"
10,4,2,0.5,887,62.824811399832356,33.94803017602682,718,64.1,32.95,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
11,4,3,0.5,874,63.3696563285834,34.03185247275775,697,65.14999999999999,32.9,"branching = {1: 1, 2: 25, 3: 12}, treatments = {4: 1, 5: 0, 6: 1, 7: 1}"
12,5,1,0.5,1095,54.10729253981559,33.151718357082984,907,54.65,33.800000000000004,"branching = {}, treatments = {1: 1}"
13,5,2,0.5,886,62.86672254819782,32.6487845766974,719,64.05,34.5,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
14,5,3,0.5,859,63.99832355406539,32.774518021793796,712,64.4,34.4,"branching = {1: 1, 2: 25, 3: 15}, treatments = {4: 1, 5: 0, 6: 1, 7: 1}"
