,Dataset,Depth,P(Correct Treatment),Test Error,Test % Optimal,Test % Same Treatment,Train Error,Train % Optimal,Train % Same Treatment,Tree
0,1,1,0.6,1105,53.68818105616094,41.95305951383068,897,55.15,43.1,"branching = {}, treatments = {1: 1}"
1,1,2,0.6,872,63.45347862531433,45.68315171835708,733,63.349999999999994,45.35,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
2,1,3,0.6,866,63.70494551550713,45.38977367979883,719,64.05,45.15,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 2, 6: 0, 7: 1}"
3,2,1,0.6,1065,55.36462699077954,42.91701592623638,937,53.15,41.949999999999996,"branching = {}, treatments = {1: 1}"
4,2,2,0.6,870,63.53730092204526,44.92875104777871,735,63.24999999999999,46.25,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
5,2,3,0.6,1065,55.36462699077954,42.91701592623638,937,53.15,41.949999999999996,"branching = {1: 22, 2: 22, 3: 22}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
6,3,1,0.6,1121,53.017602682313495,41.70159262363789,881,55.95,43.4,"branching = {}, treatments = {1: 1}"
7,3,2,0.6,865,63.746856663872585,45.47359597652976,740,63.0,45.6,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
8,3,3,0.6,872,63.45347862531433,44.80301760268232,714,64.3,45.5,"branching = {1: 25, 2: 23, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
9,4,1,0.6,1095,54.10729253981559,43.042749371332775,907,54.65,41.8,"branching = {}, treatments = {1: 1}"
10,4,2,0.6,870,63.53730092204526,46.1441743503772,735,63.24999999999999,44.800000000000004,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
11,4,3,0.6,853,64.24979044425817,46.64710813076278,715,64.25,44.05,"branching = {1: 1, 2: 25, 3: 16}, treatments = {4: 1, 5: 0, 6: 1, 7: 2}"
12,5,1,0.6,1109,53.52053646269908,42.20452640402347,893,55.35,42.8,"branching = {}, treatments = {1: 1}"
13,5,2,0.6,878,63.202011735121545,45.30595138306789,727,63.65,45.800000000000004,"branching = {1: 25}, treatments = {2: 1, 3: 0}"
14,5,3,0.6,851,64.3336127409891,45.054484492875105,702,64.9,45.7,"branching = {1: 25, 2: 21, 3: 1}, treatments = {4: 1, 5: 0, 6: 0, 7: 1}"
