"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred"
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.495679127289546,0.330988480825841,0,0.5,0.495679127289546,0.440122112102528
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.298326693819524,0.153621204041349,0,0.5,0.298326693819524,0.443776252091671
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.527015649339732,0.488363526264003,1,0.5,0.488363526264003,0.511501912335427
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.52754599906009,0.480349785481569,1,0.5,0.480349785481569,0.518107257936781
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.292898002216389,0.332277767988746,0,0.5,0.292898002216389,0.518089464214947
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.378679263975577,0.28996114377045,1,0.5,0.28996114377045,0.54052956537844
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.581088281015864,0.513336285920615,1,0.5,0.513336285920615,0.513480786163341
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.32273929273619,0.275391762265595,0,0.5,0.32273929273619,0.477253839849707
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.558975429454685,0.59636591384704,0,0.5,0.558975429454685,0.51058414184923
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.237911348039771,0.267583554302241,0,0.5,0.237911348039771,0.49405685950923
0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.400630833364126,0.336212121655563,1,0.5,0.336212121655563,0.522868431411002
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.565645437819203,0.552962218103863,1,0.5,0.552962218103863,0.495369751006037
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.484827761976758,0.377677591666984,1,0.5,0.377677591666984,0.534940595482564
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.374329999604563,0.234016198852942,0,0.5,0.374329999604563,0.434787132291136
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.317650331993631,0.324200934390989,1,0.5,0.324200934390989,0.503622743696515
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.295276540396786,0.277024800102191,0,0.5,0.295276540396786,0.488232226956957
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.495138524445148,0.420656487647844,0,0.5,0.495138524445148,0.467404831002577
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.587653458012884,0.593011719665785,1,0.5,0.593011719665785,0.496090805501387
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.705180973811818,0.669904327853609,1,0.5,0.669904327853609,0.494855360333345
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.416650050193355,0.319257411770855,0,0.5,0.416650050193355,0.462092126479729
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.54809039455247,0.57437827151836,0,0.5,0.54809039455247,0.520037401775638
