"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
-1,"1",1,"0",-1,"1",-1,"1",-1,"1",0.375152566204792,0.214455557611253,"1",0.182425523806356,0.214455557611253,0.375960711086287
-1,"0",1,"1",1,"1",1,"1",1,"1",0.993301395384023,0.673943262968944,"1",0.989013057369407,0.673943262968944,0.98663917636908
1,"1",-1,"0",1,"0",1,"0",-1,"0",0.435383386777327,0.620620150361905,"0",0.731058578630005,0.435383386777327,0.87893181631006
1,"0",1,"0",-1,"1",1,"0",1,"0",0.621006268003678,0.770807381819221,"1",0.731058578630005,0.770807381819221,0.748352557063545
-1,"1",1,"0",-1,"1",-1,"0",1,"1",0.470658676961331,0.303424907858726,"0",0.622459331201855,0.470658676961331,0.491985161312041
1,"0",1,"1",-1,"0",1,"0",1,"1",0.644782247817103,0.773910789379769,"0",0.268941421369995,0.644782247817103,0.398766518576682
1,"1",1,"0",1,"0",-1,"1",1,"1",0.730198782563226,0.850412860347874,"1",0.880797077977882,0.850412860347874,0.637765041206761
1,"1",-1,"0",-1,"0",-1,"1",1,"1",0.329086240744971,0.557197582251413,"0",0.880797077977882,0.329086240744971,0.933511274513007
1,"1",1,"0",1,"0",-1,"0",1,"1",0.621450939386415,0.77796643816925,"0",0.268941421369995,0.621450939386415,0.507663163841464
-1,"1",1,"1",1,"1",-1,"0",-1,"1",0.460120540986931,0.297984639121319,"1",0.377540668798145,0.297984639121319,0.447316830517685
-1,"1",1,"0",-1,"1",-1,"1",-1,"1",0.378205213019612,0.224333536028907,"0",0.817574476193644,0.378205213019612,0.624039288913713
-1,"0",-1,"1",1,"0",1,"1",1,"1",0.792817282968853,0.51725446123439,"0",0.0758581800212434,0.792817282968853,0.138595105779469
1,"1",1,"1",1,"1",1,"1",-1,"0",0.721286655687823,0.852645700395921,"0",0.119202922022118,0.721286655687823,0.409911692766954
-1,"1",1,"1",-1,"0",1,"1",1,"1",0.809769697801737,0.521863190459186,"1",0.924141819978757,0.521863190459186,0.673491071586032
1,"0",1,"1",1,"1",-1,"1",1,"0",0.744195331148338,0.856374749879767,"1",0.880797077977882,0.856374749879767,0.705566109895126
-1,"1",-1,"1",1,"0",-1,"0",-1,"0",0.262854809948628,0.159570058251475,"0",0.924141819978756,0.262854809948628,0.973798816512522
1,"1",1,"1",-1,"0",1,"0",1,"1",0.633539290521057,0.771920521266669,"1",0.731058578630005,0.771920521266669,0.33902112009076
1,"1",1,"1",1,"0",1,"0",1,"1",0.824149925472328,0.940692836137131,"1",0.952574126822433,0.940692836137131,0.720813642835053
-1,"1",1,"1",-1,"1",1,"1",-1,"1",0.57774242117892,0.378345016885882,"0",0.377540668798145,0.57774242117892,0.384041848007507
1,"0",-1,"1",1,"1",-1,"0",1,"0",0.431401473988509,0.66185274136389,"0",0.731058578630005,0.431401473988509,0.788152159606756
1,"1",1,"0",-1,"1",-1,"0",1,"0",0.419682221434795,0.639626613025927,"0",0.731058578630005,0.419682221434795,0.844512679480417
-1,"0",1,"0",-1,"0",1,"0",-1,"0",0.482826593342924,0.305463581836766,"1",0.377540668798145,0.305463581836766,0.466683094996867
1,"0",-1,"0",-1,"0",1,"0",1,"0",0.409227223111973,0.640136859292528,"0",0.731058578630005,0.409227223111973,0.79981276826495
-1,"0",-1,"0",1,"1",1,"1",1,"1",0.797563779139135,0.520493953018997,"1",0.924141819978757,0.520493953018997,0.968785437128453
-1,"0",-1,"1",1,"0",-1,"1",-1,"0",0.369301800701522,0.226553661075445,"0",0.817574476193644,0.369301800701522,0.874440165800846
-1,"1",-1,"0",1,"0",1,"0",-1,"1",0.477457406867348,0.295284455362786,"0",0.622459331201855,0.477457406867348,0.564168133257241
-1,"0",-1,"0",1,"0",1,"1",1,"1",0.790491422361563,0.518019625953446,"1",0.924141819978757,0.518019625953446,0.927682650513877
-1,"1",-1,"1",1,"0",-1,"1",1,"1",0.603796027088302,0.373198433905185,"1",0.622459331201855,0.373198433905185,0.277873810448458
1,"0",-1,"1",1,"1",1,"1",-1,"0",0.514340188142101,0.715684691616897,"0",0.5,0.514340188142101,0.537141390303248
-1,"0",-1,"1",-1,"0",1,"0",-1,"1",0.273520162220884,0.149427115323916,"1",0.0758581800212435,0.149427115323916,0.179372095509747
-1,"0",1,"0",-1,"1",-1,"1",1,"1",0.588945596925229,0.378174604323181,"1",0.622459331201855,0.378174604323181,0.846402671427041
1,"1",1,"0",-1,"1",-1,"1",-1,"1",0.323778059176017,0.558741854124201,"0",0.880797077977882,0.323778059176017,0.786183771535256
-1,"0",-1,"0",1,"1",1,"1",-1,"1",0.585799590555971,0.383376592609776,"1",0.622459331201855,0.383376592609776,0.908879994998238
-1,"1",1,"0",-1,"0",1,"0",-1,"0",0.501527923561267,0.288597555110937,"0",0.622459331201855,0.501527923561267,0.770605286926232
1,"1",-1,"0",-1,"1",1,"1",-1,"0",0.328981082985333,0.577036623562812,"0",0.880797077977882,0.328981082985333,0.892702624518306
1,"1",-1,"0",1,"0",1,"1",-1,"0",0.535027722715049,0.705598763003038,"0",0.5,0.535027722715049,0.799956338328441
1,"1",-1,"0",-1,"0",-1,"0",-1,"1",0,0.341745738787047,"0",0.993307149075715,0,0.987548386852916
-1,"1",1,"0",1,"0",-1,"1",-1,"0",0.586854213301404,0.365766189828802,"0",0.377540668798145,0.586854213301404,0.668855571301219
1,"1",-1,"0",1,"1",1,"0",1,"1",0.646940801207669,0.764310476542066,"1",0.731058578630005,0.764310476542066,0.724164667306715
-1,"1",-1,"0",-1,"0",-1,"1",1,"0",0.387132199222147,0.222487103671106,"0",0.817574476193644,0.387132199222147,0.941336797708887
1,"1",1,"0",1,"0",1,"0",-1,"0",0.63581591699351,0.782573620758291,"1",0.731058578630005,0.782573620758291,0.403496688160271
1,"1",-1,"0",-1,"0",-1,"0",-1,"1",0.00938932236817928,0.355917566437206,"0",0.993307149075715,0.00938932236817928,0.987548386852916
1,"0",1,"0",-1,"1",1,"0",1,"0",0.623530149957698,0.78476457270311,"1",0.731058578630005,0.78476457270311,0.748352557063545
1,"1",1,"0",-1,"1",1,"1",-1,"0",0.546673317686025,0.701499313374498,"1",0.5,0.701499313374498,0.371167284508038
1,"1",1,"0",-1,"0",1,"0",-1,"1",0.446846270943698,0.634000621948801,"0",0.731058578630005,0.446846270943698,0.74614646477526
1,"0",-1,"0",-1,"0",1,"1",1,"1",0.529920272907674,0.713460932116501,"1",0.5,0.713460932116501,0.534972808753912
-1,"1",-1,"1",-1,"1",1,"0",-1,"0",0.266527713007939,0.160935780630746,"0",0.924141819978756,0.266527713007939,0.933655956772472
-1,"0",-1,"0",1,"1",1,"0",-1,"1",0.479500292669405,0.304423006635614,"1",0.377540668798145,0.304423006635614,0.846017847663266
1,"1",1,"0",-1,"0",1,"0",1,"1",0.627846020918482,0.785960769821856,"0",0.268941421369995,0.627846020918482,0.48576427941555
1,"0",1,"1",1,"0",1,"1",-1,"0",0.734839761258758,0.856567186608584,"0",0.119202922022118,0.734839761258758,0.363763963242038
-1,"0",-1,"1",-1,"1",1,"0",1,"1",0.476510179401994,0.309066853768746,"0",0.622459331201855,0.476510179401994,0.377999479487269
1,"1",-1,"1",-1,"1",-1,"1",-1,"1",0.105467376961241,0.414021971984022,"0",0.982013790037908,0.105467376961241,0.973868335844073
-1,"0",-1,"0",1,"1",1,"1",1,"0",0.792005304241832,0.52645050289275,"1",0.924141819978757,0.52645050289275,0.924578511298744
-1,"0",1,"1",1,"0",1,"1",1,"1",1,0.671009184331683,"1",0.989013057369407,0.671009184331683,0.96827603454151
-1,"0",-1,"1",1,"0",1,"1",-1,"1",0.5707920596539,0.37289667280693,"1",0.622459331201855,0.37289667280693,0.666386158044953
-1,"1",-1,"1",1,"0",-1,"0",-1,"1",0.260172197935604,0.147508638505808,"0",0.924141819978756,0.260172197935604,0.936224576272783
