"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred"
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.563711030019642,0.55508125932857,1,0.9,0.55508125932857,0.550088566149785
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.448160954094472,0.35323397628006,1,0.9,0.35323397628006,0.975212394407104
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.780443503452173,0.69190427981161,0,0.1,0.780443503452173,0.072891307901956
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.7510536458091,0.744485510026992,0,0.9,0.7510536458091,0.720873737285489
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.220040039422339,0.181237923179855,1,0.9,0.181237923179855,0.898809873690078
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.364333320663783,0.37525546399837,1,0.9,0.37525546399837,0.681165121174264
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.76185075302978,0.786401594152524,0,0.9,0.76185075302978,0.684560100736876
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.759370159399092,0.670073507506717,1,0.9,0.670073507506717,0.559052131768804
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.600982461791683,0.528683524436139,1,0.9,0.528683524436139,0.840311184462826
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43666171096719,0.299913337673614,0,0.1,0.43666171096719,0.00310560832089424
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.601365484775071,0.702390440960017,0,0.9,0.601365484775071,0.981112858780899
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.586727242367,0.535410941304369,1,0.9,0.535410941304369,0.908147712709467
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.543559718911091,0.475358095798067,1,0.9,0.475358095798067,0.713634125507117
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0.685318236536873,0.716973067592527,0,0.9,0.685318236536873,0.916064729527456
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.418041538200033,0.436149290599745,0,0.9,0.418041538200033,0.758860976799171
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.634436552269608,0.755353402111104,0,0.9,0.634436552269608,0.989461165027002
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.627110308996746,0.703755987386097,0,0.9,0.627110308996746,0.960796359088016
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.438336599187312,0.330713501228539,1,0.9,0.330713501228539,0.979124388666586
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.684896459058807,0.687289285441933,0,0.9,0.684896459058807,0.587077515759481
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.542553293660725,0.434116125603601,1,0.9,0.434116125603601,0.851230517899054
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.537338338228035,0.500297889840423,1,0.9,0.500297889840423,0.616902192831558
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.780342157439244,0.799093252414434,0,0.9,0.780342157439244,0.826147191171763
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.41174691229624,0.386167257709784,1,0.9,0.386167257709784,0.720732683670058
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.654120436260841,0.62442948919739,1,0.9,0.62442948919739,0.532647122713698
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.604924343843697,0.615159886991709,1,0.1,0.615159886991709,0.53681023454039
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.4271646721467,0.392834728980763,1,0.9,0.392834728980763,0.687355239082661
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.375561591588146,0.289840112324648,1,0.9,0.289840112324648,0.963531967867215
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.460767726872671,0.473717319773022,1,0.9,0.473717319773022,0.578572996184953
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.757750953241817,0.639266043557978,1,0.9,0.639266043557978,0.839163901460545
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.661562071470682,0.590759585651086,1,0.9,0.590759585651086,0.864894343676555
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.504590652142252,0.6278469465322,0,0.9,0.504590652142252,0.978382170685765
