V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.642541465171329,0.6145642656065501,0,0.9,0.642541465171329,0.796662132141292,0.8979591836734692,0.6502584136537367,0.5785657918688685,0.6200976691986761,0.6606138120210866
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.39438118744454,0.444755122682673,0,0.9,0.39438118744454,0.611230341219286,0.8979591836734692,0.383433010293021,0.4159830276761477,0.43404089046469135,0.5711918563140133
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.691691186651946,0.7683119216842249,1,0.9,0.7683119216842249,0.9867337967876341,0.933333333333333,0.6756265867722142,0.5381887690821748,0.7762367334169407,0.6384060930101383
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.474047752047339,0.5292488171588211,1,0.9,0.5292488171588211,0.584716566687406,0.933333333333333,0.48664552983211934,0.46774913909303045,0.5335934425240668,0.5996636746228766
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.444901387350765,0.524217060713402,1,0.9,0.524217060713402,0.6224375821593221,0.933333333333333,0.48410787440803627,0.46475839058022245,0.5354057907644183,0.5980187365362889
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.6621136976589549,0.788769565061653,1,0.9,0.788769565061653,0.991227621149127,0.933333333333333,0.6825694946808868,0.5381367095166406,0.791697189816795,0.6383774597894741
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.954810481203773,0.918350211581587,1,0.9,0.918350211581587,0.792316068809151,0.933333333333333,0.9519184795855785,0.7261614385329676,0.9202393601894955,0.7417927207700428
0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43856090683482796,0.383442229804858,0,0.9,0.43856090683482796,0.9620013839871341,0.8979591836734692,0.4446166018705329,0.47816531569689147,0.4149564529355546,0.6053926637167231
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.33780006641292,0.34727031599407504,0,0.9,0.33780006641292,0.841726886457275,0.8979591836734692,0.33785827978167426,0.4015344052467825,0.36923006551837684,0.5632449864147206
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.667583610274511,0.626176057332157,0,0.9,0.667583610274511,0.742585173110551,0.8979591836734692,0.6642667548048039,0.5836703457584531,0.638373451578196,0.6634213617271412
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.49176619082375705,0.6145304459630171,1,0.9,0.6145304459630171,0.9686366622806759,0.933333333333333,0.5094501999876361,0.4509620846117439,0.6255768759347978,0.5904306464496168
