"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.082438698206866,0.0136804084417078,0,0.75,0.082438698206866,0.809782432286451,0.733067729083665
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.533709756917176,0.466118406454133,0,0.75,0.533709756917176,0.718674670692986,0.733067729083665
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.507324935534782,0.550343616916764,1,0.75,0.550343616916764,0.563430193317589,0.755020080321285
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.558271587864971,0.52934962985451,0,0.75,0.558271587864971,0.482867777620396,0.733067729083665
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.245474789690148,0.370588502384737,0,0.25,0.245474789690148,0.246909223694103,0.244979919678715
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614173021348558,0.536834773607236,0,0.75,0.614173021348558,0.6156705660331,0.733067729083665
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.498073967014495,0.496330704386043,1,0.75,0.496330704386043,0.53263403654112,0.755020080321285
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.428797576966448,0.42134708143158,1,0.25,0.42134708143158,0.491647967671524,0.266932270916335
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.381098619997327,0.442917875390066,1,0.75,0.442917875390066,0.692095076701364,0.755020080321285
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.559367913228338,0.61302896007093,1,0.75,0.61302896007093,0.650366364081231,0.755020080321285
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.468398652669852,0.475289985815575,1,0.25,0.475289985815575,0.488863910119263,0.266932270916335
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.320886214182088,0.375233645428697,0,0.25,0.320886214182088,0.355477972366181,0.244979919678715
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.454843031420629,0.429493527109902,1,0.25,0.429493527109902,0.391233173411745,0.266932270916335
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.442385822335734,0.343783292503785,0,0.75,0.442385822335734,0.792531747216307,0.733067729083665
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.410625916640719,0.461288959879474,1,0.75,0.461288959879474,0.629737684142926,0.755020080321285
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.426011298738036,0.46407809148841,0,0.25,0.426011298738036,0.421408138796024,0.244979919678715
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.594130009346118,0.577930680111268,0,0.75,0.594130009346118,0.576469180292991,0.733067729083665
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.52283917927996,0.548760020987218,1,0.75,0.548760020987218,0.664564010736435,0.755020080321285
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.375592576160008,0.449246202277731,1,0.75,0.449246202277731,0.640026388615785,0.755020080321285
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.477459931713884,0.425127872049118,0,0.75,0.477459931713884,0.624041475779707,0.733067729083665
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.454619471471584,0.583412838437167,1,0.75,0.583412838437167,0.75993666928422,0.755020080321285
0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.357455650546829,0.373127009717767,1,0.75,0.373127009717767,0.497415154589105,0.755020080321285
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.194937347292038,0.277966677839358,1,0.75,0.277966677839358,0.620542573008815,0.755020080321285
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.502758870039902,0.582776732104007,1,0.75,0.582776732104007,0.672655695577921,0.755020080321285
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.245603312006154,0.215994296868408,0,0.75,0.245603312006154,0.695140968687978,0.733067729083665
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.416779468473567,0.425054850024578,0,0.75,0.416779468473567,0.563859605656477,0.733067729083665
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.489931186873698,0.535431964797893,1,0.75,0.535431964797893,0.550350374363531,0.755020080321285
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.513583752019177,0.610013926614803,0,0.25,0.513583752019177,0.262548788448774,0.244979919678715
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.438790617644701,0.483472889022577,1,0.75,0.483472889022577,0.523293523113394,0.755020080321285
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.543497001615119,0.646814971136092,0,0.25,0.543497001615119,0.225151996907871,0.244979919678715
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17147816415493,0.0552607985634011,1,0.25,0.0552607985634011,0.11589632502273,0.266932270916335
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.433455433359026,0.518012229012205,1,0.75,0.518012229012205,0.588150204288506,0.755020080321285
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.223815174322334,0.262655814346854,1,0.25,0.262655814346854,0.396899575281383,0.266932270916335
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.564127526429687,0.55893460821107,0,0.75,0.564127526429687,0.539629510679128,0.733067729083665
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.542478247779919,0.551518492181214,1,0.75,0.551518492181214,0.569093807591123,0.755020080321285
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.370862306268767,0.365851708307086,0,0.75,0.370862306268767,0.622251977772126,0.733067729083665
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.446206979460798,0.413603827374176,0,0.75,0.446206979460798,0.629851703194481,0.733067729083665
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.184200811517008,0.156439965452236,0,0.75,0.184200811517008,0.713827184626944,0.733067729083665
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.729106376294546,0.815802980738165,1,0.75,0.815802980738165,0.795675112449873,0.755020080321285
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.55560170318642,0.569612634260459,1,0.75,0.569612634260459,0.525348258655713,0.266932270916335
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.433261906347415,0.551933395942857,1,0.75,0.551933395942857,0.830901415539892,0.755020080321285
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.476028828512096,0.480880277071107,1,0.25,0.480880277071107,0.436250961258672,0.266932270916335
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.358087989479844,0.439773445622022,1,0.75,0.439773445622022,0.713016977173981,0.755020080321285
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.428221294668552,0.447221576575933,1,0.75,0.447221576575933,0.550632810545597,0.755020080321285
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.509180095163534,0.554299068331039,1,0.75,0.554299068331039,0.626063736201985,0.755020080321285
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.680544595270995,0.736193257302004,1,0.75,0.736193257302004,0.747114310830736,0.755020080321285
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.47643897937336,0.623887603970629,0,0.25,0.47643897937336,0.162267088096074,0.244979919678715
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.580572068999774,0.529284101799337,0,0.75,0.580572068999774,0.628809261155413,0.733067729083665
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.253440136832804,0.24736497211983,0,0.75,0.253440136832804,0.611614590429853,0.733067729083665
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.312426880967839,0.31744001067202,1,0.25,0.31744001067202,0.402032632779223,0.266932270916335
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.425055844756027,0.401081323079651,0,0.75,0.425055844756027,0.6347445238176,0.733067729083665
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.487120572028276,0.43614375678615,0,0.75,0.487120572028276,0.684099570277054,0.733067729083665
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.358229415501484,0.334209125241292,0,0.75,0.358229415501484,0.633175837815724,0.733067729083665
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.541286625131275,0.474222048377948,0,0.75,0.541286625131275,0.704174846135199,0.733067729083665
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.143997976613425,0.170890307447363,1,0.75,0.170890307447363,0.45760673045569,0.755020080321285
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.463815133962694,0.475993628030858,0,0.75,0.463815133962694,0.570871417514678,0.733067729083665
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.643918738739131,0.594022517764871,0,0.75,0.643918738739131,0.602965327506701,0.733067729083665
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.66107315590958,0.574097148277035,1,0.25,0.574097148277035,0.385534203093304,0.266932270916335
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.477941563095229,0.492162054838113,0,0.75,0.477941563095229,0.49125842579499,0.733067729083665
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.194871151218959,0.128130767803679,1,0.25,0.128130767803679,0.184631926661521,0.266932270916335
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.292555666069959,0.3045665389222,1,0.25,0.3045665389222,0.444220571365941,0.266932270916335
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.704889956229837,0.655637697513781,0,0.75,0.704889956229837,0.573680166038554,0.733067729083665
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.406353591315342,0.47642461784993,1,0.75,0.47642461784993,0.639151145517766,0.755020080321285
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.453145526668838,0.489655173357699,1,0.75,0.489655173357699,0.603485135875599,0.755020080321285
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.345256296614945,0.328165016746021,0,0.75,0.345256296614945,0.668595203715173,0.733067729083665
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.690084696742175,0.72109754857608,0,0.25,0.690084696742175,0.259748915734897,0.244979919678715
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.208974449907313,0.217304642461825,0,0.75,0.208974449907313,0.579687427093813,0.733067729083665
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.287972426193052,0.10332191119173,0,0.75,0.287972426193052,0.929452341420991,0.733067729083665
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.473455421225616,0.551847824946696,1,0.75,0.551847824946696,0.712820797568151,0.755020080321285
