"V1","V2","V3","y0","y1","t","prob_t","y","prob_t_pred"
1,-1,1,0.760769306622248,0.649607633848663,"1",0.9,0.649607633848663,0.909439227458138
-1,-1,-1,0.0359298958938816,0.0630370614347015,"0",0.9,0.0359298958938816,0.802482826725814
-1,1,1,0.781229755861346,0.678448021682144,"0",0.1,0.781229755861346,0.946169721717625
1,1,1,0.919681460208406,0.941934235546091,"1",0.9,0.941934235546091,0.997522368095368
-1,1,1,0.756052013340172,0.717725980106734,"1",0.9,0.717725980106734,0.906526382036642
1,-1,1,0.727908615957811,0.67747373378433,"0",0.1,0.727908615957811,0.944366023606448
-1,1,-1,0.178989511835035,0.332282245774072,"1",0.9,0.332282245774072,0.907985262538948
1,-1,1,0.751864756437561,0.699771895725287,"1",0.9,0.699771895725287,0.909439227458138
-1,1,1,0.796095750351759,0.692904839688777,"1",0.9,0.692904839688777,0.906526382036642
1,1,-1,0.336109294832322,0.597862900061154,"1",0.9,0.597862900061154,0.997564852524967
-1,1,1,0.787589647244967,0.700398856481987,"1",0.9,0.700398856481987,0.906526382036642
1,-1,1,0.772402718421162,0.672104550246806,"1",0.9,0.672104550246806,0.909439227458138
-1,1,1,0.817486783683273,0.704502791443365,"0",0.1,0.817486783683273,0.946169721717625
-1,-1,1,0.608014765734786,0.404950200790475,"0",0.9,0.608014765734786,0.805216643932754
1,1,-1,0.371744565877012,0.565107030267638,"1",0.9,0.565107030267638,0.997564852524967
-1,1,1,0.747502766037669,0.672155136228392,"1",0.9,0.672155136228392,0.906526382036642
1,-1,1,0.77080136793704,0.685004364272142,"1",0.9,0.685004364272142,0.909439227458138
-1,-1,-1,0.0116086135072684,0.057408973605638,"0",0.9,0.0116086135072684,0.802482826725814
-1,1,-1,0.213615426935025,0.341682254446475,"1",0.9,0.341682254446475,0.907985262538948
1,-1,-1,0.212471763998038,0.300222869625832,"0",0.1,0.212471763998038,0.943448029348484
-1,1,-1,0.255853478881355,0.329851520396043,"1",0.9,0.329851520396043,0.907985262538948
1,-1,-1,0.191835117385342,0.302495459725492,"1",0.9,0.302495459725492,0.910857116487529
1,1,-1,0.315735024811745,0.569452009652551,"1",0.9,0.569452009652551,0.997564852524967
-1,1,1,0.720719906598225,0.694318138924414,"1",0.9,0.694318138924414,0.906526382036642
1,-1,-1,0.225112441961676,0.334652476694162,"1",0.9,0.334652476694162,0.910857116487529
1,1,1,0.948579560961233,0.952651761984956,"1",0.9,0.952651761984956,0.997522368095368
-1,1,1,0.801679488882014,0.642094168542576,"1",0.9,0.642094168542576,0.906526382036642
1,-1,-1,0.175481978966179,0.321032178765818,"1",0.9,0.321032178765818,0.910857116487529
1,1,1,0.921290273088658,0.944985447051992,"1",0.9,0.944985447051992,0.997522368095368
1,-1,1,0.765245531282018,0.721461851347328,"1",0.9,0.721461851347328,0.909439227458138
-1,-1,1,0.690372859515624,0.385813095042152,"0",0.9,0.690372859515624,0.805216643932754
1,1,1,0.915129845545809,0.957773137643599,"0",0.1,0.915129845545809,0.297455400210668
-1,1,-1,0.20166109520711,0.320494966860784,"1",0.9,0.320494966860784,0.907985262538948
-1,-1,-1,0.0778325473088945,0.0287813623229449,"0",0.9,0.0778325473088945,0.802482826725814
1,-1,-1,0.181602555982903,0.296946915517258,"1",0.9,0.296946915517258,0.910857116487529
1,1,1,0.893385216716919,0.962374503911278,"0",0.1,0.893385216716919,0.297455400210668
-1,1,1,0.759159213926275,0.673563157768367,"1",0.9,0.673563157768367,0.906526382036642
-1,1,-1,0.202772578429935,0.307106925239788,"0",0.1,0.202772578429935,0.945279765037153
-1,1,-1,0.220704518494381,0.313345705815276,"0",0.1,0.220704518494381,0.945279765037153
1,1,1,0.967185905059024,0.975167999006131,"1",0.9,0.975167999006131,0.997522368095368
-1,-1,1,0.640348682473946,0.434830272154015,"0",0.9,0.640348682473946,0.805216643932754
-1,1,1,0.788114043458688,0.665225895630266,"1",0.9,0.665225895630266,0.906526382036642
1,-1,1,0.823493387428412,0.668176583575163,"1",0.9,0.668176583575163,0.909439227458138
-1,-1,1,0.669543650423141,0.40369931545465,"0",0.9,0.669543650423141,0.805216643932754
1,-1,-1,0.233612258985129,0.31472465174289,"1",0.9,0.31472465174289,0.910857116487529
-1,1,1,0.792170437058223,0.664767920793443,"0",0.1,0.792170437058223,0.946169721717625
1,-1,1,0.734822032141537,0.675645088739105,"1",0.9,0.675645088739105,0.909439227458138
-1,1,-1,0.198154530169865,0.333034115440324,"1",0.9,0.333034115440324,0.907985262538948
1,-1,1,0.776082305619974,0.69769568339183,"1",0.9,0.69769568339183,0.909439227458138
-1,-1,1,0.654768685592679,0.405826701218537,"1",0.1,0.405826701218537,0.00141706387107094
-1,-1,-1,0.0183882554468577,0.038611399053605,"1",0.1,0.038611399053605,0.0014418121318589
-1,-1,-1,0.0974453992286577,0.0818102697896393,"0",0.9,0.0974453992286577,0.802482826725814
-1,1,1,0.784671901857052,0.652842192741009,"1",0.9,0.652842192741009,0.906526382036642
1,1,1,0.945784170334482,0.956054380916438,"1",0.9,0.956054380916438,0.997522368095368
1,-1,-1,0.20180574708075,0.328062762802146,"1",0.9,0.328062762802146,0.910857116487529
1,-1,-1,0.178033061070848,0.302097710008535,"1",0.9,0.302097710008535,0.910857116487529
-1,-1,-1,0.0692671549625474,0.0450115222386727,"0",0.9,0.0692671549625474,0.802482826725814
1,1,-1,0.408170677069147,0.591359050353647,"1",0.9,0.591359050353647,0.997564852524967
-1,-1,1,0.587907173849558,0.397877880445113,"0",0.9,0.587907173849558,0.805216643932754
1,1,1,0.956638559351439,0.95781965591721,"1",0.9,0.95781965591721,0.997522368095368
1,-1,1,0.74988064044257,0.674240463102363,"1",0.9,0.674240463102363,0.909439227458138
1,-1,1,0.796003261765289,0.680124325873717,"1",0.9,0.680124325873717,0.909439227458138
-1,-1,1,0.643439229544835,0.393822247590406,"1",0.1,0.393822247590406,0.00141706387107094
1,-1,1,0.733179620867458,0.670476914818496,"1",0.9,0.670476914818496,0.909439227458138
1,-1,-1,0.256716228786851,0.37109589482269,"1",0.9,0.37109589482269,0.910857116487529
-1,1,1,0.815101567551291,0.653864285981676,"1",0.9,0.653864285981676,0.906526382036642
-1,-1,1,0.640649663081716,0.384751386232339,"0",0.9,0.640649663081716,0.805216643932754
-1,-1,1,0.664118081299342,0.39952311814222,"0",0.9,0.664118081299342,0.805216643932754
-1,-1,-1,0.0495567112511519,0.0208338153828402,"1",0.1,0.0208338153828402,0.0014418121318589
-1,-1,1,0.682951664258059,0.411358001039394,"0",0.9,0.682951664258059,0.805216643932754
1,-1,-1,0.215947357227393,0.30870074696469,"1",0.9,0.30870074696469,0.910857116487529
1,1,1,0.896637574284233,0.979073204333481,"1",0.9,0.979073204333481,0.997522368095368
1,-1,1,0.771332821815436,0.679705146358019,"1",0.9,0.679705146358019,0.909439227458138
-1,1,1,0.758492609811522,0.688840255215306,"1",0.9,0.688840255215306,0.906526382036642
1,1,1,0.889260551859632,0.987305566280006,"1",0.9,0.987305566280006,0.997522368095368
-1,-1,1,0.693208729852415,0.44579614145362,"0",0.9,0.693208729852415,0.805216643932754
1,-1,1,0.776924446703962,0.665450510249361,"1",0.9,0.665450510249361,0.909439227458138
1,-1,1,0.745326045702948,0.700797461100432,"1",0.9,0.700797461100432,0.909439227458138
1,-1,-1,0.200663298029961,0.31853027395557,"1",0.9,0.31853027395557,0.910857116487529
1,1,1,0.928169995439092,0.944607517985092,"1",0.9,0.944607517985092,0.997522368095368
-1,-1,1,0.629173730084454,0.431724091172405,"0",0.9,0.629173730084454,0.805216643932754
-1,1,-1,0.19306874136368,0.315500058934749,"1",0.9,0.315500058934749,0.907985262538948
-1,1,-1,0.235109135277021,0.344637141395765,"1",0.9,0.344637141395765,0.907985262538948
-1,1,-1,0.163865176862194,0.301842567695265,"1",0.9,0.301842567695265,0.907985262538948
-1,1,-1,0.202557369481512,0.329451861035717,"1",0.9,0.329451861035717,0.907985262538948
-1,-1,1,0.596342648682191,0.417806526605435,"0",0.9,0.596342648682191,0.805216643932754
-1,1,1,0.775313371360104,0.663893462690216,"1",0.9,0.663893462690216,0.906526382036642
-1,-1,1,0.636044048977203,0.445227849781588,"1",0.1,0.445227849781588,0.00141706387107094
-1,-1,1,0.635405532542156,0.44312506179822,"0",0.9,0.635405532542156,0.805216643932754
-1,1,-1,0.200550032181889,0.33383427167014,"1",0.9,0.33383427167014,0.907985262538948
-1,1,1,0.754376618510991,0.669270537691376,"1",0.9,0.669270537691376,0.906526382036642
1,1,1,0.941271560858881,0.980035990463982,"1",0.9,0.980035990463982,0.997522368095368
1,-1,1,0.808686313194528,0.690677785030708,"1",0.9,0.690677785030708,0.909439227458138
-1,-1,1,0.538720237434246,0.418523902107739,"1",0.1,0.418523902107739,0.00141706387107094
-1,1,1,0.795483255605736,0.676876715972151,"0",0.1,0.795483255605736,0.946169721717625
-1,1,-1,0.239755480486963,0.315151484870393,"1",0.9,0.315151484870393,0.907985262538948
-1,-1,-1,0.126363082606606,0.0296701048365824,"0",0.9,0.126363082606606,0.802482826725814
-1,1,1,0.784843424017376,0.673229853697996,"1",0.9,0.673229853697996,0.906526382036642
-1,1,-1,0.211801359989501,0.336614705936237,"1",0.9,0.336614705936237,0.907985262538948
1,-1,1,0.801652873668495,0.668921818216296,"1",0.9,0.668921818216296,0.909439227458138
1,-1,1,0.799721175403025,0.673227209654274,"1",0.9,0.673227209654274,0.909439227458138
1,1,-1,0.292034293850239,0.643572518170722,"0",0.1,0.292034293850239,0.293844846094015
-1,-1,1,0.633724948074529,0.441291483620434,"0",0.9,0.633724948074529,0.805216643932754
1,1,-1,0.349098009950316,0.616167190024613,"1",0.9,0.616167190024613,0.997564852524967
1,-1,1,0.804661822964835,0.667807774478782,"1",0.9,0.667807774478782,0.909439227458138
-1,1,-1,0.216025233656861,0.301984172418171,"1",0.9,0.301984172418171,0.907985262538948
-1,1,-1,0.20266407804088,0.299173770264308,"0",0.1,0.20266407804088,0.945279765037153
1,1,1,0.937624883901188,0.968986478933024,"1",0.9,0.968986478933024,0.997522368095368
1,-1,-1,0.207376956538925,0.327408113752377,"1",0.9,0.327408113752377,0.910857116487529
1,-1,-1,0.192319597450739,0.340981369776002,"1",0.9,0.340981369776002,0.910857116487529
1,1,-1,0.341964896599137,0.601130415797969,"0",0.1,0.341964896599137,0.293844846094015
-1,-1,1,0.624432961437618,0.412300052877239,"0",0.9,0.624432961437618,0.805216643932754
-1,-1,1,0.673186622418505,0.395804445333769,"0",0.9,0.673186622418505,0.805216643932754
1,1,-1,0.331984917743824,0.593088181839505,"1",0.9,0.593088181839505,0.997564852524967
-1,1,1,0.747087467303226,0.674377679871856,"1",0.9,0.674377679871856,0.906526382036642
-1,1,-1,0.231034359657646,0.300954266286896,"0",0.1,0.231034359657646,0.945279765037153
-1,1,-1,0.217571296320088,0.309883476790094,"1",0.9,0.309883476790094,0.907985262538948
-1,1,1,0.814022575486617,0.674473577858874,"1",0.9,0.674473577858874,0.906526382036642
1,1,1,0.864076331292117,0.944994569533576,"0",0.1,0.864076331292117,0.297455400210668
-1,-1,1,0.631160756532353,0.435520625165036,"0",0.9,0.631160756532353,0.805216643932754
1,-1,-1,0.162944541973012,0.351547805383973,"1",0.9,0.351547805383973,0.910857116487529
1,1,-1,0.327142940851,0.575511860221705,"1",0.9,0.575511860221705,0.997564852524967
1,1,1,0.92425612699198,0.942105820922404,"1",0.9,0.942105820922404,0.997522368095368
1,1,1,0.896003898735711,0.934711815390453,"1",0.9,0.934711815390453,0.997522368095368
1,1,1,0.873329309810087,0.993704293505268,"1",0.9,0.993704293505268,0.997522368095368
1,1,-1,0.387069019796507,0.577829256252597,"1",0.9,0.577829256252597,0.997564852524967
