"V1","V2","V3","y0","y1","t","prob_t","y","prob_t_pred"
-1,1,-1,0.261379126643813,0.310284934282845,"1",0.9,0.310284934282845,0.923216058918609
1,-1,1,0.832599802528121,0.68737442771158,"1",0.9,0.68737442771158,0.91560515679899
-1,1,-1,0.227094621340334,0.342411627934889,"1",0.9,0.342411627934889,0.923216058918609
1,1,1,0.905422797213721,0.921198772647322,"1",0.9,0.921198772647322,0.998615592014599
-1,-1,-1,0.104373049232293,0.0454054580673996,"0",0.9,0.104373049232293,0.84685581909594
1,-1,1,0.81555698862769,0.683696489606163,"0",0.1,0.81555698862769,0.977403486390538
1,-1,-1,0.231148973507579,0.292773639369645,"1",0.9,0.292773639369645,0.924151112168211
1,1,1,0.92568448929485,0.944142420135186,"1",0.9,0.944142420135186,0.998615592014599
-1,-1,-1,0.0808460176765794,0.0618586940850731,"0",0.9,0.0808460176765794,0.84685581909594
1,1,-1,0.424525660764302,0.620962069093649,"1",0.9,0.620962069093649,0.998767098087802
-1,1,-1,0.25818588778629,0.334332717190881,"1",0.9,0.334332717190881,0.923216058918609
-1,-1,-1,0.0505409161925805,0.0190642079054188,"1",0.1,0.0190642079054188,0.000385211221738497
1,1,-1,0.346594421828469,0.605755887254064,"1",0.9,0.605755887254064,0.998767098087802
-1,-1,1,0.642106956916472,0.409130985796316,"0",0.9,0.642106956916472,0.861308924361417
-1,-1,1,0.668015909136539,0.435050597336887,"0",0.9,0.668015909136539,0.861308924361417
1,-1,-1,0.217623717193507,0.367629610704079,"1",0.9,0.367629610704079,0.924151112168211
-1,1,1,0.75975274488071,0.672068684814672,"1",0.9,0.672068684814672,0.914574488851719
-1,-1,-1,0.106756389915661,0.0476707094963376,"0",0.9,0.106756389915661,0.84685581909594
-1,-1,1,0.634644545127968,0.413933885864655,"0",0.9,0.634644545127968,0.861308924361417
-1,1,1,0.7607591703692,0.698345413601116,"1",0.9,0.698345413601116,0.914574488851719
1,1,1,0.889168606576836,0.93885532790716,"1",0.9,0.93885532790716,0.998615592014599
1,1,-1,0.367040742589961,0.583294557952957,"1",0.9,0.583294557952957,0.998767098087802
-1,-1,-1,0.0673922012901871,0.04839950407082,"0",0.9,0.0673922012901871,0.84685581909594
-1,1,-1,0.16296439743319,0.339036461894434,"1",0.9,0.339036461894434,0.923216058918609
-1,1,1,0.782485220632769,0.657901170448817,"1",0.9,0.657901170448817,0.914574488851719
-1,-1,-1,0.0879344987912406,0.0300938282201525,"0",0.9,0.0879344987912406,0.84685581909594
1,1,1,0.968641352846111,0.966531757498314,"1",0.9,0.966531757498314,0.998615592014599
1,-1,1,0.762579990768163,0.690720702475275,"1",0.9,0.690720702475275,0.91560515679899
1,1,-1,0.311677080556687,0.605012780946521,"1",0.9,0.605012780946521,0.998767098087802
-1,-1,-1,0.0894728106739668,0.0308161899573939,"0",0.9,0.0894728106739668,0.84685581909594
1,-1,1,0.779474820449695,0.688626184993277,"1",0.9,0.688626184993277,0.91560515679899
-1,1,-1,0.238641429660445,0.34596467176719,"1",0.9,0.34596467176719,0.923216058918609
1,-1,1,0.774261969808646,0.647586782685975,"1",0.9,0.647586782685975,0.91560515679899
-1,-1,-1,0.110981299421552,0.0715233958093424,"0",0.9,0.110981299421552,0.84685581909594
-1,1,1,0.776713232732795,0.686769804623582,"1",0.9,0.686769804623582,0.914574488851719
1,-1,1,0.815962344651345,0.662045122558379,"1",0.9,0.662045122558379,0.91560515679899
1,-1,-1,0.167698660098642,0.287570751274335,"1",0.9,0.287570751274335,0.924151112168211
-1,1,-1,0.224090319152682,0.321866815270921,"1",0.9,0.321866815270921,0.923216058918609
-1,-1,-1,0.0522576071237792,0.0433584337202703,"0",0.9,0.0522576071237792,0.84685581909594
-1,-1,1,0.651053343142726,0.394230690364914,"0",0.9,0.651053343142726,0.861308924361417
-1,-1,-1,0.10066379772933,0.0882554571869601,"0",0.9,0.10066379772933,0.84685581909594
1,1,-1,0.372667447434888,0.587496135251472,"1",0.9,0.587496135251472,0.998767098087802
1,-1,-1,0.223755466878151,0.352317225299038,"1",0.9,0.352317225299038,0.924151112168211
-1,-1,-1,0.0718263669676058,0.0485590006772854,"1",0.1,0.0485590006772854,0.000385211221738497
-1,1,-1,0.260532619319852,0.28958395835419,"1",0.9,0.28958395835419,0.923216058918609
-1,1,1,0.797349790845085,0.709158200247318,"1",0.9,0.709158200247318,0.914574488851719
-1,-1,-1,0.0881596855686084,0.0521249797044388,"0",0.9,0.0881596855686084,0.84685581909594
-1,1,1,0.776400879847303,0.674513475540507,"1",0.9,0.674513475540507,0.914574488851719
1,1,-1,0.382603632846227,0.612530879183191,"1",0.9,0.612530879183191,0.998767098087802
-1,-1,-1,0.0806005888247476,0.038590503534147,"0",0.9,0.0806005888247476,0.84685581909594
-1,1,-1,0.179350728581041,0.30293565930323,"1",0.9,0.30293565930323,0.923216058918609
1,-1,1,0.802810285081308,0.695779718612135,"0",0.1,0.802810285081308,0.977403486390538
-1,1,-1,0.219842828611634,0.301550801333704,"1",0.9,0.301550801333704,0.923216058918609
1,1,1,0.918073412358697,0.908044669732568,"1",0.9,0.908044669732568,0.998615592014599
-1,-1,1,0.603326136898072,0.434929333972453,"0",0.9,0.603326136898072,0.861308924361417
-1,1,-1,0.272912662894133,0.325599547076144,"1",0.9,0.325599547076144,0.923216058918609
-1,-1,1,0.713084399823244,0.391112838402115,"0",0.9,0.713084399823244,0.861308924361417
1,1,1,0.915165922023285,0.949321695522798,"1",0.9,0.949321695522798,0.998615592014599
-1,1,1,0.730774101122684,0.682625412319208,"1",0.9,0.682625412319208,0.914574488851719
