"V1","V2","V3","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
-1,-1,1,0.680415777869672,0.418155617229717,"1",0.5,0.418155617229717,0.505414417205625,0.50525
-1,-1,-1,0.100041887051327,0.0388993703688634,"1",0.5,0.0388993703688634,0.509688512457431,0.50525
1,1,1,0.921883191078023,0.958575696145908,"1",0.5,0.958575696145908,0.500594486404643,0.50525
1,1,1,0.950004296947607,0.973666439962991,"0",0.5,0.950004296947607,0.499405513595357,0.49475
-1,1,1,0.849069028606488,0.682848443790177,"0",0.5,0.849069028606488,0.494329456197277,0.49475
1,-1,1,0.779495452143212,0.676126981607675,"0",0.5,0.779495452143212,0.499661671445335,0.49475
1,1,-1,0.385260333626812,0.602607686565306,"0",0.5,0.385260333626812,0.495130570820534,0.49475
1,1,-1,0.391164450825076,0.598086490828848,"1",0.5,0.598086490828848,0.504869429179466,0.50525
1,-1,-1,0.201880114507338,0.314629880550266,"0",0.5,0.201880114507338,0.495386705859147,0.49475
-1,-1,1,0.669002646285906,0.428900566933448,"1",0.5,0.428900566933448,0.505414417205625,0.50525
-1,-1,-1,0.113272987788268,0.0747585543789899,"1",0.5,0.0747585543789899,0.509688512457431,0.50525
-1,1,1,0.804768956132021,0.681651944432056,"0",0.5,0.804768956132021,0.494329456197277,0.49475
1,1,1,0.900099130710136,0.949530267009962,"0",0.5,0.900099130710136,0.499405513595357,0.49475
-1,1,1,0.790971636105147,0.709929991430514,"1",0.5,0.709929991430514,0.505670543802723,0.50525
1,-1,1,0.778262764531252,0.666124845435167,"1",0.5,0.666124845435167,0.500338328554665,0.50525
-1,1,-1,0.210121191473998,0.305227516310927,"1",0.5,0.305227516310927,0.509944571792119,0.50525
1,1,1,0.914570527736914,0.955363362318853,"0",0.5,0.914570527736914,0.499405513595357,0.49475
1,1,1,0.946822036214408,0.944233087429477,"1",0.5,0.944233087429477,0.500594486404643,0.50525
-1,1,-1,0.207993189197756,0.336182876671966,"1",0.5,0.336182876671966,0.509944571792119,0.50525
1,-1,-1,0.228887103839654,0.319405168737155,"0",0.5,0.228887103839654,0.495386705859147,0.49475
1,1,-1,0.391020210957123,0.624545652297736,"0",0.5,0.391020210957123,0.495130570820534,0.49475
-1,-1,1,0.663005512557114,0.416102655746119,"1",0.5,0.416102655746119,0.505414417205625,0.50525
1,1,-1,0.358435386196612,0.59715582450078,"1",0.5,0.59715582450078,0.504869429179466,0.50525
-1,-1,1,0.640825948857534,0.404825171106394,"0",0.5,0.640825948857534,0.494585582794375,0.49475
-1,-1,1,0.657414630192281,0.392419983265434,"1",0.5,0.392419983265434,0.505414417205625,0.50525
-1,1,-1,0.223934875215907,0.320509821701871,"0",0.5,0.223934875215907,0.490055428207881,0.49475
-1,1,-1,0.261085668245157,0.31781846274097,"0",0.5,0.261085668245157,0.490055428207881,0.49475
-1,1,1,0.809078065153096,0.685358158637648,"1",0.5,0.685358158637648,0.505670543802723,0.50525
1,-1,1,0.785951550022272,0.664516216396571,"0",0.5,0.785951550022272,0.499661671445335,0.49475
-1,-1,-1,0.122911553789796,0.02636724514236,"0",0.5,0.122911553789796,0.490311487542569,0.49475
-1,1,-1,0.224203179845965,0.330800182019173,"1",0.5,0.330800182019173,0.509944571792119,0.50525
1,-1,1,0.775165132302649,0.658317685868191,"0",0.5,0.775165132302649,0.499661671445335,0.49475
-1,-1,1,0.627570298485699,0.416195065843806,"0",0.5,0.627570298485699,0.494585582794375,0.49475
-1,1,-1,0.24449834196329,0.288304212829798,"1",0.5,0.288304212829798,0.509944571792119,0.50525
1,-1,1,0.796506593788688,0.718219984698167,"1",0.5,0.718219984698167,0.500338328554665,0.50525
1,1,1,0.928297114648605,0.936911401788707,"1",0.5,0.936911401788707,0.500594486404643,0.50525
1,1,-1,0.389768139094771,0.5523206944331,"1",0.5,0.5523206944331,0.504869429179466,0.50525
-1,1,1,0.761944886390117,0.690056741224791,"1",0.5,0.690056741224791,0.505670543802723,0.50525
1,1,-1,0.370041671180476,0.60292137372648,"0",0.5,0.370041671180476,0.495130570820534,0.49475
-1,1,-1,0.246216955610581,0.328514951885323,"1",0.5,0.328514951885323,0.509944571792119,0.50525
1,1,-1,0.345996366557783,0.578199685356981,"1",0.5,0.578199685356981,0.504869429179466,0.50525
1,1,1,0.973535920916969,0.950690561013825,"0",0.5,0.973535920916969,0.499405513595357,0.49475
1,1,-1,0.359253318036348,0.61593162134204,"0",0.5,0.359253318036348,0.495130570820534,0.49475
1,-1,1,0.804427390046518,0.698437829475968,"0",0.5,0.804427390046518,0.499661671445335,0.49475
1,-1,1,0.781565721722442,0.71122955051063,"1",0.5,0.71122955051063,0.500338328554665,0.50525
1,-1,-1,0.207364732952888,0.36261259351069,"0",0.5,0.207364732952888,0.495386705859147,0.49475
-1,1,-1,0.242010207422261,0.336821476191042,"0",0.5,0.242010207422261,0.490055428207881,0.49475
-1,-1,-1,0.101808094278786,0.0499296830524272,"0",0.5,0.101808094278786,0.490311487542569,0.49475
1,1,-1,0.345324081281954,0.562277273252775,"1",0.5,0.562277273252775,0.504869429179466,0.50525
