"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.592401899670407,0.600568965974938,0,0.75,0.592401899670407,0.712433457404303,0.722433460076046
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.505160283651545,0.442146964916204,1,0.75,0.442146964916204,0.512687151948167,0.725738396624473
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.231053890040972,0.158506013941753,1,0.75,0.158506013941753,0.662548355273513,0.725738396624473
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.568579338550148,0.460276943536391,1,0.75,0.460276943536391,0.503047642717172,0.725738396624473
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.71162845678588,0.523575330833302,0,0.25,0.71162845678588,0.323895752004869,0.274261603375527
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160672349455491,0.0484518378576716,1,0.75,0.0484518378576716,0.681111843472182,0.725738396624473
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.70555789199635,0.54064753408704,1,0.75,0.54064753408704,0.551952302981719,0.725738396624473
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.324541793443547,0.299252836310611,0,0.75,0.324541793443547,0.605085468023532,0.722433460076046
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.434421669696851,0.532045170541361,1,0.25,0.532045170541361,0.231124364087608,0.277566539923954
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.555320603870947,0.39785253006838,1,0.75,0.39785253006838,0.738317102027297,0.725738396624473
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.111957183917779,0,1,0.75,0,0.728958710997051,0.725738396624473
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.724528032119854,0.667514407017015,0,0.75,0.724528032119854,0.602453524485398,0.722433460076046
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.329127751116115,0.31300549981087,0,0.75,0.329127751116115,0.660132574386094,0.722433460076046
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.671485887066777,0.544498185931755,1,0.75,0.544498185931755,0.550404817202399,0.725738396624473
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.221748997544233,0.233882034912214,0,0.75,0.221748997544233,0.586267308546187,0.722433460076046
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.603913501118749,0.504802480785877,1,0.75,0.504802480785877,0.608715512526745,0.725738396624473
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232809114576674,0.16286803772333,1,0.75,0.16286803772333,0.623838655833351,0.725738396624473
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.481544818712816,0.461780693748165,0,0.75,0.481544818712816,0.531639396093614,0.722433460076046
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.439433425230422,0.327612983755403,1,0.75,0.327612983755403,0.592708437995904,0.725738396624473
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.731383119803465,0.616083746922538,1,0.75,0.616083746922538,0.499833001393328,0.725738396624473
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.614135307442104,0.431938050636554,0,0.25,0.614135307442104,0.244641648773237,0.274261603375527
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.804217404748604,0.811612939294889,0,0.75,0.804217404748604,0.727779381455461,0.722433460076046
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.387456760885222,0.411098930319829,0,0.75,0.387456760885222,0.641234004076343,0.722433460076046
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.668302693555345,0.666851072704945,0,0.75,0.668302693555345,0.72249280689237,0.722433460076046
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.439263593179776,0.416036508733046,1,0.25,0.416036508733046,0.417618892910793,0.277566539923954
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222824079862073,0.134340018640536,1,0.75,0.134340018640536,0.693225037435973,0.725738396624473
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.659848335388693,0.466310070005206,1,0.75,0.466310070005206,0.718961977581276,0.725738396624473
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0.589422276226566,0.631191794685815,0,0.75,0.589422276226566,0.76167727127616,0.722433460076046
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.337019999962621,0.138663634013946,1,0.75,0.138663634013946,0.773754136403136,0.725738396624473
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.882274380326969,0.733977542183515,0,0.25,0.882274380326969,0.457994334729114,0.274261603375527
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.375545500855308,0.38071224722197,0,0.75,0.375545500855308,0.606369793563393,0.722433460076046
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.368380867821689,0.321136146337415,1,0.75,0.321136146337415,0.497026858576803,0.725738396624473
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.390505571421337,0.325556953259094,0,0.75,0.390505571421337,0.512672030869277,0.722433460076046
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17499615304131,0.0153498531518689,0,0.25,0.17499615304131,0.222576192567932,0.274261603375527
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.219284966779917,0.0696026557814874,0,0.25,0.219284966779917,0.202417553416312,0.274261603375527
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.935792584927876,0.883134899891118,1,0.25,0.883134899891118,0.302753662518125,0.277566539923954
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.215399092628319,0.215879606391387,0,0.75,0.215399092628319,0.550363064579893,0.722433460076046
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.547380701690703,0.518202842082843,1,0.25,0.518202842082843,0.382913958485888,0.277566539923954
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.638756250529416,0.619580468002321,0,0.75,0.638756250529416,0.693702018026526,0.722433460076046
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.515750229892075,0.615685871583474,0,0.75,0.515750229892075,0.781692514146468,0.722433460076046
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.415597404892464,0.304083729756134,0,0.25,0.415597404892464,0.379382327255308,0.274261603375527
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.783229131716684,0.645667815147885,1,0.75,0.645667815147885,0.524438006748262,0.725738396624473
