"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred_log","prob_t_pred_tree"
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.65267119329174,0.577828870263634,0,0.75,0.65267119329174,0.664250165817372,0.754789272030651
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.503399790447914,0.475952077697736,1,0.75,0.475952077697736,0.524594842760957,0.719665271966527
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.521165603754799,0.442478434107106,0,0.75,0.521165603754799,0.651499772582626,0.754789272030651
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.681935102634669,0.75597345038231,0,0.25,0.681935102634669,0.302291755594116,0.280334728033473
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.492219079386987,0.4666532049169,1,0.75,0.4666532049169,0.562673439384368,0.719665271966527
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.433384776841507,0.368618559849689,1,0.25,0.368618559849689,0.380414235779214,0.245210727969349
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.618404421724492,0.571397857200154,0,0.25,0.618404421724492,0.450897773883709,0.280334728033473
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.893265881368318,0.852106338235598,1,0.75,0.852106338235598,0.493260478954977,0.719665271966527
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.473692601582745,0.459899682742913,0,0.25,0.473692601582745,0.391917443362294,0.280334728033473
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.614635647193323,0.549749591232519,0,0.75,0.614635647193323,0.590889608903689,0.754789272030651
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.838441795238863,0.861677888362485,0,0.25,0.838441795238863,0.360996887373847,0.280334728033473
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.444465971125101,0.460964314084122,1,0.75,0.460964314084122,0.580020909754593,0.719665271966527
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.423902901192354,0.344108227566746,0,0.75,0.423902901192354,0.57939149813848,0.754789272030651
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.447422118336103,0.279824931193784,0,0.75,0.447422118336103,0.818119564444225,0.754789272030651
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.252579795924061,0.319341405433288,1,0.75,0.319341405433288,0.755406945323269,0.719665271966527
0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.473304901698147,0.431813160817445,0,0.75,0.473304901698147,0.49704442077053,0.754789272030651
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.390770981518776,0.392128442765964,0,0.75,0.390770981518776,0.469539200035378,0.754789272030651
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.616700260146539,0.618161446410565,1,0.75,0.618161446410565,0.62110790062291,0.719665271966527
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.591997021722004,0.58651207454427,1,0.75,0.58651207454427,0.610647867666608,0.719665271966527
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0.593270718596881,0.557663468779692,1,0.75,0.557663468779692,0.572190747513769,0.719665271966527
