V1,V2,V3,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,reg0,reg1
-1,-1,1,0.680415777869672,0.41815561722971706,0,0.75,0.680415777869672,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,-1,-1,0.10004188705132701,0.0388993703688634,0,0.75,0.10004188705132701,0.653128812659085,0.766981132075472,0.28114278996881104,0.46984460180285714
1,1,1,0.921883191078023,0.958575696145908,1,0.75,0.958575696145908,0.860187975430851,0.753908219868886,0.6458443453243243,0.6357000925476196
1,1,1,0.9500042969476071,0.9736664399629911,0,0.25,0.9500042969476071,0.139812024569149,0.24609178013111396,0.6458443453243243,0.6357000925476196
-1,1,1,0.8490690286064879,0.682848443790177,1,0.75,0.682848443790177,0.635127449575927,0.753908219868886,0.6458443453243243,0.6357000925476196
1,-1,1,0.7794954521432121,0.6761269816076751,0,0.25,0.7794954521432121,0.368365627342215,0.24242424242424201,0.6458443453243243,0.6357000925476196
1,1,-1,0.385260333626812,0.602607686565306,0,0.25,0.385260333626812,0.129276489219975,0.24609178013111396,0.28114278996881104,0.46984460180285714
1,1,-1,0.39116445082507595,0.598086490828848,1,0.75,0.598086490828848,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
1,-1,-1,0.201880114507338,0.314629880550266,0,0.25,0.201880114507338,0.347566398584859,0.24242424242424201,0.28114278996881104,0.46984460180285714
-1,-1,1,0.669002646285906,0.428900566933448,0,0.75,0.669002646285906,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,-1,-1,0.11327298778826801,0.0747585543789899,1,0.25,0.0747585543789899,0.346871187340915,0.233018867924528,0.28114278996881104,0.46984460180285714
-1,1,1,0.8047689561320209,0.6816519444320561,1,0.75,0.6816519444320561,0.635127449575927,0.753908219868886,0.6458443453243243,0.6357000925476196
1,1,1,0.900099130710136,0.949530267009962,1,0.75,0.949530267009962,0.860187975430851,0.753908219868886,0.6458443453243243,0.6357000925476196
-1,1,1,0.790971636105147,0.709929991430514,1,0.75,0.709929991430514,0.635127449575927,0.753908219868886,0.6458443453243243,0.6357000925476196
1,-1,1,0.7782627645312521,0.6661248454351669,1,0.75,0.6661248454351669,0.631634372657785,0.7575757575757579,0.6458443453243243,0.6357000925476196
-1,1,-1,0.21012119147399802,0.30522751631092704,1,0.75,0.30522751631092704,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
1,1,1,0.914570527736914,0.955363362318853,1,0.75,0.955363362318853,0.860187975430851,0.753908219868886,0.6458443453243243,0.6357000925476196
1,1,1,0.946822036214408,0.944233087429477,1,0.75,0.944233087429477,0.860187975430851,0.753908219868886,0.6458443453243243,0.6357000925476196
-1,1,-1,0.207993189197756,0.336182876671966,1,0.75,0.336182876671966,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
1,-1,-1,0.228887103839654,0.319405168737155,1,0.75,0.319405168737155,0.652433601415141,0.7575757575757579,0.28114278996881104,0.46984460180285714
1,1,-1,0.39102021095712297,0.624545652297736,1,0.75,0.624545652297736,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,-1,1,0.663005512557114,0.41610265574611893,0,0.75,0.663005512557114,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
1,1,-1,0.358435386196612,0.5971558245007801,1,0.75,0.5971558245007801,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,-1,1,0.640825948857534,0.404825171106394,0,0.75,0.640825948857534,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,-1,1,0.657414630192281,0.392419983265434,0,0.75,0.657414630192281,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,1,-1,0.223934875215907,0.32050982170187103,1,0.75,0.32050982170187103,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,1,-1,0.26108566824515694,0.31781846274097,1,0.75,0.31781846274097,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,1,1,0.809078065153096,0.6853581586376479,1,0.75,0.6853581586376479,0.635127449575927,0.753908219868886,0.6458443453243243,0.6357000925476196
1,-1,1,0.785951550022272,0.664516216396571,0,0.25,0.785951550022272,0.368365627342215,0.24242424242424201,0.6458443453243243,0.6357000925476196
-1,-1,-1,0.12291155378979599,0.02636724514236,0,0.75,0.12291155378979599,0.653128812659085,0.766981132075472,0.28114278996881104,0.46984460180285714
-1,1,-1,0.224203179845965,0.330800182019173,1,0.75,0.330800182019173,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
1,-1,1,0.775165132302649,0.6583176858681911,1,0.75,0.6583176858681911,0.631634372657785,0.7575757575757579,0.6458443453243243,0.6357000925476196
-1,-1,1,0.627570298485699,0.41619506584380606,0,0.75,0.627570298485699,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,1,-1,0.24449834196329,0.28830421282979807,1,0.75,0.28830421282979807,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
1,-1,1,0.796506593788688,0.718219984698167,1,0.75,0.718219984698167,0.631634372657785,0.7575757575757579,0.6458443453243243,0.6357000925476196
1,1,1,0.928297114648605,0.9369114017887071,1,0.75,0.9369114017887071,0.860187975430851,0.753908219868886,0.6458443453243243,0.6357000925476196
1,1,-1,0.389768139094771,0.5523206944331,1,0.75,0.5523206944331,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,1,1,0.7619448863901171,0.690056741224791,1,0.75,0.690056741224791,0.635127449575927,0.753908219868886,0.6458443453243243,0.6357000925476196
1,1,-1,0.37004167118047604,0.60292137372648,1,0.75,0.60292137372648,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,1,-1,0.24621695561058105,0.328514951885323,1,0.75,0.328514951885323,0.655836913754288,0.753908219868886,0.28114278996881104,0.46984460180285714
1,1,-1,0.34599636655778304,0.578199685356981,1,0.75,0.578199685356981,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
1,1,1,0.9735359209169692,0.950690561013825,0,0.25,0.9735359209169692,0.139812024569149,0.24609178013111396,0.6458443453243243,0.6357000925476196
1,1,-1,0.3592533180363479,0.61593162134204,0,0.25,0.3592533180363479,0.129276489219975,0.24609178013111396,0.28114278996881104,0.46984460180285714
1,-1,1,0.804427390046518,0.698437829475968,0,0.25,0.804427390046518,0.368365627342215,0.24242424242424201,0.6458443453243243,0.6357000925476196
1,-1,1,0.7815657217224421,0.71122955051063,1,0.75,0.71122955051063,0.631634372657785,0.7575757575757579,0.6458443453243243,0.6357000925476196
1,-1,-1,0.20736473295288801,0.36261259351069003,0,0.25,0.20736473295288801,0.347566398584859,0.24242424242424201,0.28114278996881104,0.46984460180285714
-1,1,-1,0.242010207422261,0.33682147619104197,0,0.25,0.242010207422261,0.34416308624571196,0.24609178013111396,0.28114278996881104,0.46984460180285714
-1,-1,-1,0.101808094278786,0.0499296830524272,0,0.75,0.101808094278786,0.653128812659085,0.766981132075472,0.28114278996881104,0.46984460180285714
1,1,-1,0.34532408128195397,0.562277273252775,1,0.75,0.562277273252775,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
1,1,-1,0.41030100319830703,0.5776415578972249,1,0.75,0.5776415578972249,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
-1,-1,-1,0.10677815256686699,0.0178202567400738,0,0.75,0.10677815256686699,0.653128812659085,0.766981132075472,0.28114278996881104,0.46984460180285714
1,-1,1,0.7943159975689492,0.683898736910707,1,0.75,0.683898736910707,0.631634372657785,0.7575757575757579,0.6458443453243243,0.6357000925476196
-1,-1,1,0.61706060328834,0.3988850598992871,0,0.75,0.61706060328834,0.6733420452553689,0.766981132075472,0.6458443453243243,0.6357000925476196
-1,-1,1,0.646070367610425,0.41863682389312895,1,0.25,0.41863682389312895,0.32665795474463105,0.233018867924528,0.6458443453243243,0.6357000925476196
-1,1,1,0.826560903431681,0.68539712531822,0,0.25,0.826560903431681,0.36487255042407296,0.24609178013111396,0.6458443453243243,0.6357000925476196
-1,1,1,0.783352511298001,0.6726662562735289,0,0.25,0.783352511298001,0.36487255042407296,0.24609178013111396,0.6458443453243243,0.6357000925476196
-1,-1,-1,0.125530245263775,0.0964037474470039,0,0.75,0.125530245263775,0.653128812659085,0.766981132075472,0.28114278996881104,0.46984460180285714
1,1,-1,0.37743058238371,0.590809803476894,1,0.75,0.590809803476894,0.870723510780025,0.753908219868886,0.28114278996881104,0.46984460180285714
1,-1,1,0.8162755667157351,0.69169340395228,0,0.25,0.8162755667157351,0.368365627342215,0.24242424242424201,0.6458443453243243,0.6357000925476196
