"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred"
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.495679127289546,0.330988480825841,0,0.9,0.495679127289546,0.952460906648901
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.298326693819524,0.153621204041349,0,0.9,0.298326693819524,0.937861094011033
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.527015649339732,0.488363526264003,1,0.9,0.488363526264003,0.576252574900256
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.52754599906009,0.480349785481569,1,0.9,0.480349785481569,0.463847299759101
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.292898002216389,0.332277767988746,0,0.1,0.292898002216389,0.170266958382101
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.378679263975577,0.28996114377045,1,0.1,0.28996114377045,0.0807826001777835
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.581088281015864,0.513336285920615,1,0.9,0.513336285920615,0.540217363560886
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.32273929273619,0.275391762265595,0,0.9,0.32273929273619,0.60416678080278
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.558975429454685,0.59636591384704,0,0.1,0.558975429454685,0.265060415931656
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.237911348039771,0.267583554302241,1,0.9,0.267583554302241,0.676561579268978
0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.400630833364126,0.336212121655563,0,0.9,0.400630833364126,0.608930437072622
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0.565645437819203,0.552962218103863,1,0.9,0.552962218103863,0.80220026159373
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.484827761976758,0.377677591666984,0,0.9,0.484827761976758,0.783022927763052
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.374329999604563,0.234016198852942,0,0.9,0.374329999604563,0.966223438687674
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.317650331993631,0.324200934390989,1,0.9,0.324200934390989,0.706715133720028
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.295276540396786,0.277024800102191,1,0.9,0.277024800102191,0.581563679406889
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.495138524445148,0.420656487647844,0,0.9,0.495138524445148,0.755913532034555
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.587653458012884,0.593011719665785,1,0.9,0.593011719665785,0.793638089928201
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.705180973811818,0.669904327853609,1,0.9,0.669904327853609,0.803754745200454
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.416650050193355,0.319257411770855,0,0.9,0.416650050193355,0.813934422472419
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.54809039455247,0.57437827151836,1,0.9,0.57437827151836,0.920722560611564
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.775638559263117,0.694865572492621,1,0.9,0.694865572492621,0.54498015667919
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.504273105777072,0.485823301952726,1,0.9,0.485823301952726,0.784477578191071
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.278311827607202,0.325688395030314,1,0.9,0.325688395030314,0.747983711410284
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.387122701203955,0.274908830631464,0,0.9,0.387122701203955,0.869889448956572
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.288642293997226,0.237913684236612,0,0.9,0.288642293997226,0.738334962770715
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.87364521327102,0.774376799166876,1,0.9,0.774376799166876,0.632980321743053
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.7987029071827,0.781711159417349,1,0.9,0.781711159417349,0.911091224125732
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.706194862109636,0.597213570562963,0,0.9,0.706194862109636,0.449704700454345
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.151790183385895,0.216269855037192,1,0.9,0.216269855037192,0.88989420966518
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.493645461587691,0.288816122743222,0,0.9,0.493645461587691,0.988016195997337
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.821091535366409,0.759360811449082,1,0.9,0.759360811449082,0.711618153522235
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.609818230398597,0.522854776480756,0,0.9,0.609818230398597,0.670727579599353
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.336234653005925,0.315879100575071,1,0.9,0.315879100575071,0.289944682124139
0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.284289932757445,0.239919203721645,0,0.9,0.284289932757445,0.493237660634112
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.255196358161156,0.186360422871889,0,0.9,0.255196358161156,0.81976211239803
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.557259424778266,0.420882990540091,0,0.9,0.557259424778266,0.801505799591257
0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.353778207342423,0.238800970067217,0,0.9,0.353778207342423,0.88650463480756
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.384133953443783,0.472207958646489,0,0.1,0.384133953443783,0.172487719180413
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.656825949230983,0.570332587619926,0,0.9,0.656825949230983,0.500573940147518
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.60427824852981,0.659132437377216,1,0.9,0.659132437377216,0.971838137717304
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.771318053466666,0.624584466599326,0,0.9,0.771318053466666,0.644727135417942
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.500636084964842,0.514062766196355,0,0.1,0.500636084964842,0.235236736616317
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.717112489310997,0.644819917977094,1,0.9,0.644819917977094,0.632809547452823
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.625536530983015,0.599747984804782,1,0.9,0.599747984804782,0.730852220396394
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.42506053777135,0.479373797147213,0,0.1,0.42506053777135,0.255419218491609
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.970357498963926,0.997359456331545,1,0.9,0.997359456331545,0.981685338914993
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.337130897189961,0.259842291670836,0,0.9,0.337130897189961,0.856396109747683
0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.402673940419744,0.304667018982342,0,0.9,0.402673940419744,0.750174954383377
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.606308379314001,0.47628247566753,1,0.1,0.47628247566753,0.164524168087669
