"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","y0","y1","t","prop_score_t","y","prop_score_t_pred"
-1,"1",-1,"0",-1,"1",1,"0",1,"0",0.465870029088869,0.29024261405303,"0",0.622459331201855,0.465870029088869,0.724692852484433
1,"0",1,"0",1,"1",1,"1",1,"0",0.942035037621014,1,"1",0.982013790037908,1,0.998223330895854
-1,"1",1,"1",1,"1",-1,"0",1,"1",0.680815653792657,0.457484833164606,"0",0.182425523806356,0.680815653792657,0.231427976580609
1,"0",-1,"0",-1,"0",1,"0",-1,"1",0.214069754914555,0.486462189475089,"0",0.952574126822433,0.214069754914555,0.984169747645276
1,"1",-1,"1",1,"0",-1,"0",1,"0",0.418027517619264,0.639629792707886,"1",0.268941421369995,0.639629792707886,0.465705970610237
-1,"0",-1,"0",1,"0",1,"1",-1,"0",0.572141091003704,0.370698928380783,"0",0.377540668798145,0.572141091003704,0.650204268063971
1,"1",-1,"0",-1,"1",-1,"1",1,"0",0.319859260585253,0.554791397265277,"0",0.880797077977882,0.319859260585253,0.771408701263833
1,"0",1,"1",-1,"1",1,"1",1,"1",0.736229095102115,0.862321555294332,"1",0.880797077977882,0.862321555294332,0.941977914002638
1,"0",1,"1",1,"0",-1,"0",-1,"1",0.428544602594977,0.62689220546463,"0",0.731058578630005,0.428544602594977,0.727164962441664
-1,"0",-1,"1",1,"0",-1,"0",1,"1",0.46789674770477,0.296776775331728,"0",0.622459331201855,0.46789674770477,0.929873379333952
1,"1",1,"1",-1,"1",-1,"1",-1,"0",0.323939349754214,0.556870177079018,"1",0.119202922022118,0.556870177079018,0.321504836034231
-1,"0",-1,"0",1,"1",-1,"0",1,"0",0.464544911567859,0.306783287453484,"0",0.622459331201855,0.464544911567859,0.792561761880204
1,"0",1,"0",-1,"0",1,"1",1,"0",0.746814773388685,0.859505125943873,"1",0.880797077977882,0.859505125943873,0.976926564132342
1,"1",1,"0",-1,"0",1,"0",1,"1",0.633731414072158,0.780217341925485,"1",0.731058578630005,0.780217341925485,0.892274702814217
-1,"0",-1,"1",1,"0",-1,"1",-1,"0",0.35053286002755,0.233265429817586,"0",0.817574476193644,0.35053286002755,0.957069899639263
1,"0",1,"0",1,"1",1,"0",-1,"1",0.630295951979236,0.762687887156364,"0",0.268941421369995,0.630295951979236,0.161521744073904
-1,"1",1,"0",-1,"0",1,"0",-1,"0",0.463117033911762,0.304530132822527,"0",0.622459331201855,0.463117033911762,0.627459818685039
-1,"0",1,"1",-1,"0",1,"1",-1,"0",0.584220422717076,0.376532554360524,"1",0.622459331201855,0.376532554360524,0.502191204308476
