"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10","V2.1","V2.2","V2.3","V2.4","V2.5","V2.6","V2.7","V2.8","V2.9","V2.10","y0","y1","t","prob_t","y","prob_t_pred"
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.518896189105115,0.53907214358581,1,0.5,0.53907214358581,0.502434066475551
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.586813501847098,0.531205599702081,1,0.5,0.531205599702081,0.5611977676629
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.946085660869539,0.904881735995622,1,0.5,0.904881735995622,0.486451761870033
0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.514759449681738,0.61139913973898,0,0.5,0.514759449681738,0.523877616415193
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.392181529188138,0.400170228901235,0,0.5,0.392181529188138,0.453407680725516
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.458163212077867,0.455979799245664,0,0.5,0.458163212077867,0.482921887549441
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.680043597674771,0.695508237606017,0,0.5,0.680043597674771,0.527478976361387
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.82994031077053,0.803525346058416,0,0.5,0.82994031077053,0.521871045341981
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.349492190641025,0.356813186570855,1,0.5,0.356813186570855,0.540987738206665
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,0,0.38107233985951
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.552537089160475,0.707863649257123,0,0.5,0.552537089160475,0.584149088246322
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.926221076172964,0.826480836882415,0,0.5,0.926221076172964,0.490514754617207
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.689284039045305,0.687559153780194,1,0.5,0.687559153780194,0.502502212664209
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.773547257191856,0.85839571182132,0,0.5,0.773547257191856,0.56902191542594
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.447137703427825,0.507064707910979,1,0.5,0.507064707910979,0.481405044357554
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.745417253517261,0.88498954015718,0,0.5,0.745417253517261,0.607361995509279
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.546087039112962,0.664706392055883,0,0.5,0.546087039112962,0.567232908987338
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.471019661650719,0.452189277427295,1,0.5,0.452189277427295,0.571933172749841
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.81431038495547,0.814949544567535,1,0.5,0.814949544567535,0.467063497165015
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.726075974499297,0.690873070901735,1,0.5,0.690873070901735,0.513128324493688
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.493799161349705,0.504052433016298,1,0.5,0.504052433016298,0.508623103666342
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.39776483894783,0.498389220264014,1,0.5,0.498389220264014,0.477228698309178
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.80756695668263,0.776162857375571,1,0.5,0.776162857375571,0.493414813315837
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.603141116502206,0.646714310325,0,0.5,0.603141116502206,0.509428683590611
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.802951558421734,0.863503983022355,1,0.5,0.863503983022355,0.451238628786419
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.366960994691625,0.418713655523935,1,0.5,0.418713655523935,0.522424796307792
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.49568362037699,0.44730524132616,0,0.5,0.49568362037699,0.438453077810864
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.549398090397984,0.57744703822874,0,0.5,0.549398090397984,0.500191744677261
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.541974488931238,0.529992293153374,0,0.5,0.541974488931238,0.47380445697968
0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.503399742046647,0.492163774791496,1,0.5,0.492163774791496,0.533996943694809
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.418564957866088,0.617264051618523,0,0.5,0.418564957866088,0.569872295671802
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.494388723999613,0.57688898768724,0,0.5,0.494388723999613,0.520469884632656
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.277684471326853,0.355771901435849,0,0.5,0.277684471326853,0.475934476518526
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.749637475499144,0.858994404078758,0,0.5,0.749637475499144,0.590526420292434
0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.516545469074139,0.456192325776992,1,0.5,0.456192325776992,0.550434738709116
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.736722549042556,0.731683099454903,0,0.5,0.736722549042556,0.514883285716836
0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.449107282514799,0.596276176330516,1,0.5,0.596276176330516,0.455998996934135
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.603388035593772,0.719794722729029,1,0.5,0.719794722729029,0.427582369040339
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0.745975135230776,0.817963950298111,0,0.5,0.745975135230776,0.557754816375595
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.457014829586208,0.552960006092041,0,0.5,0.457014829586208,0.511481689848007
