,V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred,reg0,reg1
0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.65267119329174,0.577828870263634,0,0.9,0.65267119329174,0.8305270473014459,0.666455313704249,0.5776535199296915
1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.503399790447914,0.475952077697736,1,0.9,0.475952077697736,0.552397034508898,0.5138509374328688,0.4915552597633107
2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.521165603754799,0.442478434107106,0,0.9,0.521165603754799,0.866663284394799,0.5198238536231314,0.4371060017561343
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.6819351026346689,0.75597345038231,0,0.1,0.6819351026346689,0.15697863936274,0.696393419514502,0.7339253244673678
4,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4922190793869871,0.46665320491690004,1,0.9,0.46665320491690004,0.632644432873911,0.47702304940380563,0.46787121208699084
5,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.43338477684150706,0.36861855984968894,0,0.9,0.43338477684150706,0.852091400667139,0.428192649168938,0.35781728847136135
6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.6184044217244921,0.5713978572001539,0,0.1,0.6184044217244921,0.617267122108437,0.5965162529929813,0.581672303641598
7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.8932658813683181,0.852106338235598,1,0.9,0.852106338235598,0.726462841617053,0.8848064470780848,0.8486123029851906
8,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.473692601582745,0.459899682742913,1,0.9,0.459899682742913,0.7417971222223442,0.46672952188357675,0.4732831109110608
9,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.614635647193323,0.549749591232519,0,0.9,0.614635647193323,0.7052451991570179,0.6022180782489346,0.5402441155238416
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.838441795238863,0.861677888362485,1,0.9,0.861677888362485,0.930280007475577,0.8453136288266995,0.8593402112561822
11,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.444465971125101,0.46096431408412203,1,0.9,0.46096431408412203,0.665205438364067,0.4565156215902958,0.4534599081293528
12,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.423902901192354,0.344108227566746,0,0.9,0.423902901192354,0.7901422337320558,0.4083088163720717,0.3520833776705003
13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.44742211833610296,0.279824931193784,0,0.9,0.44742211833610296,0.9902154276280749,0.45465865709031855,0.2993464375679744
14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.252579795924061,0.31934140543328804,1,0.9,0.31934140543328804,0.915882429320914,0.2486396976163509,0.3146080564271023
15,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.47330490169814704,0.431813160817445,0,0.9,0.47330490169814704,0.5506009552397869,0.46062562672178675,0.4316011608042676
16,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.390770981518776,0.392128442765964,0,0.9,0.390770981518776,0.520245570994907,0.39580278176203976,0.37656472210074343
17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.6167002601465389,0.6181614464105649,1,0.9,0.6181614464105649,0.84042968117183,0.6133096007751384,0.6230876499257832
