V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,reg0,reg1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0.5924018996704069,0.600568965974938,0,0.9,0.5924018996704069,0.879453165419932,0.8745247148288969,0.5434632182065503,0.404129938971454
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.505160283651545,0.442146964916204,1,0.9,0.442146964916204,0.546658266966988,0.8987341772151899,0.527727347188949,0.3945884247648815
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23105389004097196,0.158506013941753,1,0.9,0.158506013941753,0.803607782755963,0.8987341772151899,0.43389521741714804,0.3376929025374076
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.568579338550148,0.460276943536391,1,0.9,0.460276943536391,0.5350919353356169,0.8987341772151899,0.5459802556024212,0.4056561556037786
0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.71162845678588,0.523575330833302,0,0.1,0.71162845678588,0.11817951594238499,0.10126582278480999,0.6314958888545935,0.45750893379743385
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160672349455491,0.0484518378576716,1,0.9,0.0484518378576716,0.8197987317285509,0.8987341772151899,0.39588200688543407,0.3146434260946939
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.70555789199635,0.54064753408704,1,0.9,0.54064753408704,0.673584356930957,0.8987341772151899,0.6021629118814433,0.4397227549327674
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.324541793443547,0.29925283631061106,0,0.9,0.324541793443547,0.7662878558759609,0.8745247148288969,0.41044420498268785,0.3234732785933864
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.434421669696851,0.532045170541361,1,0.1,0.532045170541361,0.0552401341262915,0.125475285171103,0.46960248708009267,0.3593441616501578
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.555320603870947,0.39785253006838,1,0.9,0.39785253006838,0.9282957883425991,0.8987341772151899,0.5693828319342934,0.419846410105178
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11195718391777901,0.0,1,0.9,0.0,0.8837123929623949,0.8987341772151899,0.3877890475775144,0.30973622482675295
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.724528032119854,0.667514407017015,0,0.9,0.724528032119854,0.6709187176608311,0.8745247148288969,0.6038814382187354,0.4407647908927279
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.32912775111611503,0.31300549981087,0,0.9,0.32912775111611503,0.847153517222123,0.8745247148288969,0.42009477669313394,0.3293249449532449
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.671485887066777,0.544498185931755,1,0.9,0.544498185931755,0.670430062498433,0.8987341772151899,0.6022173847181838,0.43975578477554195
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22174899754423302,0.233882034912214,0,0.9,0.22174899754423302,0.7399386471320699,0.8745247148288969,0.3938683530973175,0.3134224383142945
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.603913501118749,0.5048024807858771,1,0.9,0.5048024807858771,0.776133931702785,0.8987341772151899,0.5936719358407703,0.4345742144783415
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232809114576674,0.16286803772332997,1,0.9,0.16286803772332997,0.730012446710664,0.8987341772151899,0.4232583394354163,0.331243185056707
