split,randomization,tree_depth,oos_regret,oos_optimal_treatment,oos_avg_outcome,tree
1,0.1,1,30.5457150353341,0.8304,0.49274160083261015,"{'branching': ['V1.5'], 'leaves': ['1', '0']}"
2,0.1,1,63.745978844264606,0.7306,0.47494622787737645,"{'branching': ['V1.7'], 'leaves': ['1', '0']}"
3,0.1,1,222.40112135659396,0.5037,0.5010101913284815,"{'branching': ['V2.4'], 'leaves': ['0', '0']}"
4,0.1,1,264.74850019859144,0.4241,0.49815502674245243,"{'branching': ['V2.5'], 'leaves': ['0', '0']}"
5,0.1,1,26.756559412553422,0.8475,0.5095213841954326,"{'branching': ['V1.6'], 'leaves': ['1', '0']}"
1,0.25,1,30.5457150353341,0.8304,0.49274160083261015,"{'branching': ['V1.5'], 'leaves': ['1', '0']}"
2,0.25,1,17.75499524262392,0.8729,0.4795453262375409,"{'branching': ['V1.5'], 'leaves': ['1', '0']}"
3,0.25,1,222.40112135659396,0.5037,0.5010101913284815,"{'branching': ['V2.4'], 'leaves': ['0', '0']}"
4,0.25,1,264.74850019859144,0.4241,0.49815502674245243,"{'branching': ['V2.5'], 'leaves': ['0', '0']}"
5,0.25,1,41.93274694285879,0.8023,0.5080037654424004,"{'branching': ['V1.5'], 'leaves': ['1', '0']}"
1,0.5,1,269.6823494705312,0.4344,0.46882793738909295,"{'branching': ['V2.5'], 'leaves': ['1', '1']}"
2,0.5,1,17.75499524262392,0.8729,0.4795453262375409,"{'branching': ['V1.5'], 'leaves': ['1', '0']}"
3,0.5,1,222.40112135659396,0.5037,0.5010101913284815,"{'branching': ['V2.5'], 'leaves': ['0', '0']}"
4,0.5,1,264.74850019859144,0.4241,0.49815502674245243,"{'branching': ['V2.5'], 'leaves': ['0', '0']}"
5,0.5,1,169.98054172935355,0.5391,0.49519898596375106,"{'branching': ['V1.2'], 'leaves': ['1', '0']}"
1,0.75,1,269.6823494705312,0.4344,0.46882793738909295,"{'branching': ['V2.6'], 'leaves': ['1', '1']}"
2,0.75,1,175.0428010498139,0.574,0.46381654565682295,"{'branching': ['V2.5'], 'leaves': ['1', '1']}"
3,0.75,1,115.12617384729747,0.6593,0.5117376860794117,"{'branching': ['V2.5'], 'leaves': ['0', '1']}"
4,0.75,1,264.74850019859144,0.4241,0.49815502674245243,"{'branching': ['V1.5'], 'leaves': ['0', '0']}"
5,0.75,1,348.78483413748893,0.3433,0.4773185567229373,"{'branching': ['V2.7'], 'leaves': ['1', '1']}"
1,0.9,1,269.6823494705312,0.4344,0.46882793738909295,"{'branching': ['V2.6'], 'leaves': ['1', '1']}"
2,0.9,1,175.0428010498139,0.574,0.46381654565682295,"{'branching': ['V2.5'], 'leaves': ['1', '1']}"
3,0.9,1,216.01045433572637,0.4963,0.5016492580305665,"{'branching': ['V2.4'], 'leaves': ['1', '1']}"
4,0.9,1,162.87740644964165,0.5759,0.5083421361173438,"{'branching': ['V2.5'], 'leaves': ['1', '1']}"
5,0.9,1,348.78483413748893,0.3433,0.4773185567229373,"{'branching': ['V2.5'], 'leaves': ['1', '1']}"
