method,prob_opt,oosp,dataset,oos_regret,time_elapsed
random,0.1,0.47783473846317936,1.0,179.61433872965233,
random,0.1,0.45390490850549714,2.0,274.1591725630517,
random,0.1,0.5010101913284815,3.0,222.40112135659396,
random,0.1,0.49815502674245243,4.0,264.74850019859144,
random,0.1,0.4993235064871742,5.0,128.73533649513524,
random,0.25,0.47783473846317936,1.0,179.61433872965233,
random,0.25,0.45390490850549714,2.0,274.1591725630517,
random,0.25,0.5010101913284815,3.0,222.40112135659396,
random,0.25,0.49815502674245243,4.0,264.74850019859144,
random,0.25,0.4993235064871742,5.0,128.73533649513524,
random,0.5,0.47783473846317936,1.0,179.61433872965233,
random,0.5,0.45390490850549714,2.0,274.1591725630517,
random,0.5,0.5010101913284815,3.0,222.40112135659396,
random,0.5,0.49815502674245243,4.0,264.74850019859144,
random,0.5,0.4993235064871742,5.0,128.73533649513524,
random,0.75,0.47783473846317936,1.0,179.61433872965233,
random,0.75,0.45390490850549714,2.0,274.1591725630517,
random,0.75,0.5010101913284815,3.0,222.40112135659396,
random,0.75,0.49815502674245243,4.0,264.74850019859144,
random,0.75,0.4993235064871742,5.0,128.73533649513524,
random,0.9,0.47783473846317936,1.0,179.61433872965233,
random,0.9,0.45390490850549714,2.0,274.1591725630517,
random,0.9,0.5010101913284815,3.0,222.40112135659396,
random,0.9,0.49815502674245243,4.0,264.74850019859144,
random,0.9,0.4993235064871742,5.0,128.73533649513524,
lasso,0.1,0.6065,1.0,150.51290509635825,0.23581576347351074
lasso,0.1,0.4261,2.0,274.1591725630517,0.22311019897460938
lasso,0.1,0.5037,3.0,222.40112135659396,0.22437787055969238
lasso,0.1,0.4243,4.0,264.74850019859144,0.22199702262878418
lasso,0.1,0.6568,5.0,128.73533649513524,0.21888303756713867
lasso,0.25,0.6371,1.0,130.96117726127613,0.2236192226409912
lasso,0.25,0.627,2.0,117.46631341610475,0.2180948257446289
lasso,0.25,0.5038,3.0,222.23398038657564,0.22026491165161133
lasso,0.25,0.4243,4.0,264.74850019859144,0.22599124908447266
lasso,0.25,0.6637,5.0,120.17857175612053,0.2196507453918457
lasso,0.5,0.5974,1.0,150.44149230287073,0.21895503997802734
lasso,0.5,0.8812,2.0,14.856088077751778,0.2253258228302002
lasso,0.5,0.5449,3.0,180.35188701839212,0.22218799591064453
lasso,0.5,0.4363,4.0,251.35951074985482,0.22062206268310547
lasso,0.5,0.6746,5.0,94.52817569937511,0.22839975357055664
lasso,0.75,0.4558,1.0,253.11754472126248,0.22101807594299316
lasso,0.75,0.5739,2.0,175.0428010498139,0.22246098518371582
lasso,0.75,0.7147,3.0,83.36926235323325,0.22618985176086426
lasso,0.75,0.578,4.0,158.75277478316642,0.22417998313903809
lasso,0.75,0.4312,5.0,262.29721839746253,0.21814203262329102
lasso,0.9,0.436,1.0,268.3795498938682,0.22145986557006836
lasso,0.9,0.5739,2.0,175.0428010498139,0.2266688346862793
lasso,0.9,0.5038,3.0,209.79217467389475,0.21901893615722656
lasso,0.9,0.6103,4.0,139.2837296854416,0.2198619842529297
lasso,0.9,0.3555,5.0,337.9566315351317,0.22391295433044434
lr,0.1,0.7351,1.0,59.598000113869915,0.24024200439453125
lr,0.1,0.902,2.0,10.603153410496393,0.22563505172729492
lr,0.1,0.7046,3.0,77.35426913838397,0.22532391548156738
lr,0.1,0.6471,4.0,92.10230242153276,0.2254178524017334
lr,0.1,0.8732,5.0,17.38318943159878,0.22429394721984863
lr,0.25,0.7358,1.0,59.33259885245688,0.22762680053710938
lr,0.25,0.902,2.0,10.53926366555822,0.22904586791992188
lr,0.25,0.7036,3.0,77.39491897516399,0.22796106338500977
lr,0.25,0.652,4.0,90.17544542947593,0.22407889366149902
lr,0.25,0.8704,5.0,17.957315241354642,0.22454190254211426
lr,0.5,0.7261,1.0,62.71963233823343,0.2248551845550537
lr,0.5,0.9031,2.0,10.312259366549164,0.2267777919769287
lr,0.5,0.7016,3.0,78.51080184259709,0.22542214393615723
lr,0.5,0.6557,4.0,87.88516641730246,0.22522878646850586
lr,0.5,0.8771,5.0,16.611089795709013,0.22574901580810547
lr,0.75,0.712,1.0,68.8757296488055,0.22620391845703125
lr,0.75,0.9024,2.0,10.347204358911203,0.2252211570739746
lr,0.75,0.7003,3.0,79.02181135519426,0.22680926322937012
lr,0.75,0.6495,4.0,90.73863589043829,0.2251429557800293
lr,0.75,0.8742,5.0,17.219998236264928,0.22662091255187988
lr,0.9,0.7118,1.0,69.16139452348634,0.2256608009338379
lr,0.9,0.9006,2.0,10.758398131647596,0.2285020351409912
lr,0.9,0.712,3.0,73.51971585299613,0.22623586654663086
lr,0.9,0.6509,4.0,90.07793364481817,0.2260427474975586
lr,0.9,0.8743,5.0,17.166186061463936,0.22668004035949707
