Set parameter TokenServer to value "hpc-licenses.hpcc.usc.edu"
Set parameter TimeLimit to value 14400
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads
Optimize a model with 105043 rows, 36115 columns and 470013 nonzeros
Model fingerprint: 0xbf4645d3
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+03]
Presolve removed 2145 rows and 1910 columns
Presolve time: 2.20s
Presolved: 102898 rows, 34205 columns, 413546 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 7189 integer (7189 binary)
Found heuristic solution: objective 1285.1425700

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   5.518500e+03      5s
   30976    8.5000000e+00   0.000000e+00   1.573724e+02     10s
   38496    7.0250000e+01   0.000000e+00   1.199463e+02     15s
   45076    1.6275000e+02   0.000000e+00   9.347003e+01     20s
   51468    2.6125000e+02   0.000000e+00   1.085994e+02     25s
   57672    2.8675000e+02   0.000000e+00   8.952451e+01     30s
   63876    2.9225000e+02   0.000000e+00   1.019177e+02     35s
   70080    3.1450000e+02   0.000000e+00   9.298955e+01     40s
   76284    3.3125000e+02   0.000000e+00   1.224942e+02     45s
   82300    3.3300000e+02   0.000000e+00   1.254868e+02     50s
   88316    3.3725000e+02   0.000000e+00   8.964129e+01     55s
   94708    3.9542857e+02   0.000000e+00   8.983976e+01     60s
  100724    4.7764583e+02   0.000000e+00   8.363001e+01     65s
  107116    5.2060417e+02   0.000000e+00   9.052602e+01     70s
  112944    5.5185714e+02   0.000000e+00   8.258842e+01     75s
  118584    5.7512500e+02   0.000000e+00   9.858167e+01     80s
  124412    6.0142955e+02   0.000000e+00   7.937868e+01     85s
  130428    6.4967104e+02   0.000000e+00   1.127516e+02     90s
  136632    6.8814190e+02   0.000000e+00   7.356142e+01     95s
  142648    7.2824557e+02   0.000000e+00   7.435859e+01    100s
  148664    7.6068462e+02   0.000000e+00   7.755878e+01    105s
  154492    7.8289305e+02   0.000000e+00   1.196854e+02    110s
  160508    8.0079172e+02   0.000000e+00   7.582318e+01    115s
  166336    8.1739262e+02   0.000000e+00   7.074891e+01    120s
  172164    8.3075308e+02   0.000000e+00   1.081481e+02    125s
  177992    8.4764420e+02   0.000000e+00   2.747095e+02    130s
  183632    8.7160450e+02   0.000000e+00   7.172723e+01    135s
  189084    8.9687120e+02   0.000000e+00   9.160840e+01    140s
  194536    9.1536332e+02   0.000000e+00   6.935276e+01    145s
  199988    9.3301666e+02   0.000000e+00   1.858619e+02    150s
  205440    9.5208403e+02   0.000000e+00   9.364590e+01    155s
  210892    9.6057522e+02   0.000000e+00   9.933426e+01    160s
  216532    9.7676992e+02   0.000000e+00   1.813947e+02    165s
  222172    9.9077981e+02   0.000000e+00   2.817541e+02    170s
  227624    1.0174011e+03   0.000000e+00   1.652523e+02    175s
  232888    1.0568881e+03   0.000000e+00   5.129090e+02    180s
  238152    1.0786681e+03   0.000000e+00   1.992226e+02    185s
  243040    1.0787036e+03   0.000000e+00   2.423428e+02    190s
  248116    1.0787611e+03   0.000000e+00   3.558225e+02    195s
  253192    1.0789185e+03   0.000000e+00   5.978704e+02    200s
  258268    1.0975789e+03   0.000000e+00   5.518905e+02    205s
  263532    1.1292484e+03   0.000000e+00   1.214743e+02    210s
  268796    1.1345250e+03   0.000000e+00   1.309379e+02    215s
  274060    1.1451884e+03   0.000000e+00   6.677388e+01    220s
  279136    1.1605774e+03   0.000000e+00   1.427473e+02    225s
  284400    1.1714645e+03   0.000000e+00   9.928504e+02    230s
  289288    1.1748845e+03   0.000000e+00   1.575538e+02    235s
  294552    1.1805261e+03   0.000000e+00   3.791662e+02    240s
  299628    1.1925603e+03   0.000000e+00   3.641544e+02    245s
  304516    1.2119400e+03   0.000000e+00   3.320299e+03    250s
  308652    1.2388356e+03   0.000000e+00   7.863026e+03    255s
  312600    1.2397176e+03   0.000000e+00   1.747630e+03    260s
  316360    1.2405059e+03   0.000000e+00   1.753968e+03    265s
  320120    1.2426884e+03   0.000000e+00   4.212914e+03    270s
  322752    1.2484343e+03   0.000000e+00   1.310207e+03    275s
  325008    1.2487349e+03   0.000000e+00   5.471388e+02    280s
  327452    1.2488628e+03   0.000000e+00   4.609565e+02    285s
  330455    1.2489535e+03   0.000000e+00   3.370604e+02    290s
  332899    1.2490834e+03   0.000000e+00   2.772531e+02    295s
  335343    1.2491428e+03   0.000000e+00   2.722551e+02    300s
  337787    1.2491988e+03   0.000000e+00   2.939074e+02    305s
  340419    1.2492758e+03   0.000000e+00   3.247369e+02    310s
  342863    1.2493733e+03   0.000000e+00   3.129563e+02    315s
  345495    1.2494676e+03   0.000000e+00   2.917212e+02    320s
  348122    1.2495479e+03   0.000000e+00   3.146860e+02    325s
  350566    1.2496762e+03   0.000000e+00   5.409766e+02    330s
  353198    1.2500675e+03   0.000000e+00   3.112169e+02    335s
  355830    1.2504688e+03   0.000000e+00   5.920998e+02    340s
  358444    1.2542392e+03   0.000000e+00   5.470211e+03    345s
  360700    1.2546441e+03   0.000000e+00   1.235851e+03    350s
  362768    1.3001103e+03   0.000000e+00   6.719494e+03    355s
  365212    1.3051928e+03   0.000000e+00   1.056258e+03    360s
  367900    1.3053372e+03   0.000000e+00   3.756624e+02    365s
  371528    1.3104875e+03   0.000000e+00   7.800017e+01    370s
  374208    1.3158211e+03   0.000000e+00   1.403228e+02    375s
  376996    1.3193990e+03   0.000000e+00   1.348505e+02    380s
  379854    1.3267522e+03   0.000000e+00   9.738251e+01    385s
  382596    1.3277950e+03   0.000000e+00   3.082417e+03    390s
  385228    1.3515547e+03   0.000000e+00   4.558899e+02    395s
  387584    1.3538084e+03   0.000000e+00   3.545766e+02    400s
  390216    1.3595479e+03   0.000000e+00   3.502349e+02    405s
  392810    1.3666201e+03   0.000000e+00   3.534057e+02    410s
  395442    1.3836449e+03   0.000000e+00   1.305578e+03    415s
  397886    1.4203284e+03   0.000000e+00   9.071359e+02    420s
  400142    1.4221119e+03   0.000000e+00   1.189234e+03    425s
  402398    1.4238986e+03   0.000000e+00   4.216713e+02    430s
  404842    1.4240060e+03   0.000000e+00   3.856221e+02    435s
  407286    1.4240856e+03   0.000000e+00   4.084575e+02    440s
  409504    1.4241749e+03   0.000000e+00   4.153803e+02    445s
  411910    1.4251898e+03   0.000000e+00   1.791931e+03    450s
  413978    1.4272408e+03   0.000000e+00   7.643398e+02    455s
  416422    1.4273917e+03   0.000000e+00   3.212268e+02    460s
  418949    1.4279454e+03   0.000000e+00   3.290717e+02    465s
  421250    1.4292827e+03   0.000000e+00   2.503824e+02    470s
  423551    1.4294961e+03   0.000000e+00   2.205046e+02    475s
  426029    1.4297185e+03   0.000000e+00   2.035285e+02    480s
  428507    1.4297935e+03   0.000000e+00   2.669423e+02    485s
  431162    1.4298724e+03   0.000000e+00   2.883495e+02    490s
  434171    1.4300164e+03   0.000000e+00   4.907038e+02    495s
  437709    1.4330456e+03   0.000000e+00   2.242024e+03    500s
  441207    1.4365824e+03   0.000000e+00   3.591782e+03    505s
  445182    1.4368874e+03   0.000000e+00   1.752092e+02    510s
  449316    1.4377478e+03   0.000000e+00   8.586910e+01    515s
