Set parameter TokenServer to value "hpc-licenses.hpcc.usc.edu"
Set parameter TimeLimit to value 14400
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads
Optimize a model with 105043 rows, 36115 columns and 471267 nonzeros
Model fingerprint: 0x3b84f049
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+03]
Presolve removed 2205 rows and 1778 columns
Presolve time: 2.55s
Presolved: 102838 rows, 34337 columns, 416466 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 7321 integer (7321 binary)
Found heuristic solution: objective 1249.9454945

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   5.579750e+03      5s
   28455    8.7500000e+00   0.000000e+00   1.281890e+02     10s
   35827    2.4000000e+01   0.000000e+00   1.235665e+02     15s
   41308    4.6500000e+01   0.000000e+00   1.183851e+02     20s
   46600    1.1775000e+02   0.000000e+00   9.713328e+01     25s
   51703    1.7925000e+02   0.000000e+00   1.414946e+02     30s
   56617    1.9300000e+02   0.000000e+00   1.718686e+02     35s
   61531    2.0000000e+02   0.000000e+00   1.476994e+02     40s
   66445    2.1175000e+02   0.000000e+00   9.717046e+01     45s
   71737    3.3577273e+02   0.000000e+00   9.314905e+01     50s
   76651    3.5050000e+02   0.000000e+00   8.915626e+01     55s
   81565    3.7398529e+02   0.000000e+00   9.849720e+01     60s
   86479    4.4025000e+02   0.000000e+00   8.414950e+01     65s
   91204    4.5898614e+02   0.000000e+00   8.437422e+01     70s
   96118    5.1275007e+02   0.000000e+00   7.857826e+01     75s
  100843    5.4214722e+02   0.000000e+00   1.226310e+02     80s
  105379    6.1025502e+02   0.000000e+00   4.888356e+02     85s
  110104    6.4616241e+02   0.000000e+00   7.919567e+01     90s
  114829    6.8040107e+02   0.000000e+00   7.549069e+01     95s
  119554    6.9778335e+02   0.000000e+00   8.918123e+01    100s
  124279    7.1913424e+02   0.000000e+00   7.382227e+01    105s
  129004    7.4262206e+02   0.000000e+00   7.289255e+01    110s
  133918    7.5912033e+02   0.000000e+00   7.309570e+01    115s
  138454    7.7545617e+02   0.000000e+00   9.847838e+01    120s
  143179    7.8421572e+02   0.000000e+00   7.545486e+01    125s
  147526    8.0813670e+02   0.000000e+00   2.232518e+02    130s
  151684    8.1664146e+02   0.000000e+00   8.884372e+01    135s
  155842    8.2464931e+02   0.000000e+00   7.549206e+01    140s
  160189    8.4090698e+02   0.000000e+00   7.618362e+01    145s
  164347    8.5916639e+02   0.000000e+00   1.279274e+02    150s
  168505    8.6842413e+02   0.000000e+00   9.197954e+01    155s
  172663    8.7772886e+02   0.000000e+00   2.725775e+02    160s
  176556    9.2893653e+02   0.000000e+00   5.128885e+02    165s
  179022    9.2895134e+02   0.000000e+00   1.389758e+02    170s
  181431    9.2898588e+02   0.000000e+00   2.802366e+02    175s
  183711    9.3849255e+02   0.000000e+00   7.841643e+01    180s
  186161    9.5099821e+02   0.000000e+00   7.154483e+01    185s
  188431    9.5750337e+02   0.000000e+00   1.396858e+02    190s
  190700    9.7576025e+02   0.000000e+00   7.844935e+01    195s
  192930    9.7976659e+02   0.000000e+00   1.072685e+02    200s
  195250    9.8202259e+02   0.000000e+00   8.093808e+01    205s
  197480    9.8302741e+02   0.000000e+00   7.554994e+01    210s
  199760    9.8553337e+02   0.000000e+00   7.551084e+01    215s
  202010    9.8903842e+02   0.000000e+00   7.084207e+01    220s
  204260    9.9529363e+02   0.000000e+00   6.729097e+01    225s
  206670    1.0038016e+03   0.000000e+00   8.985493e+01    230s
  208940    1.0075588e+03   0.000000e+00   1.058790e+02    235s
  211160    1.0105694e+03   0.000000e+00   1.092507e+02    240s
  213607    1.0148397e+03   0.000000e+00   7.876943e+01    245s
  215987    1.0535033e+03   0.000000e+00   7.594478e+01    250s
  218568    1.0812577e+03   0.000000e+00   8.176597e+01    255s
  220960    1.0990125e+03   0.000000e+00   7.553521e+01    260s
  223531    1.1085184e+03   0.000000e+00   9.172276e+01    265s
  225749    1.1172748e+03   0.000000e+00   9.333298e+01    270s
  228016    1.1332820e+03   0.000000e+00   1.921855e+02    275s
  230531    1.1415389e+03   0.000000e+00   8.150529e+01    280s
  232979    1.1487962e+03   0.000000e+00   1.924520e+02    285s
  235305    1.1530561e+03   0.000000e+00   1.221640e+02    290s
  237679    1.1530662e+03   0.000000e+00   2.486369e+02    295s
  240091    1.1530790e+03   0.000000e+00   2.160210e+02    300s
  242311    1.1530982e+03   0.000000e+00   3.175239e+02    305s
  244570    1.1531126e+03   0.000000e+00   1.249461e+02    310s
  247150    1.1543813e+03   0.000000e+00   3.194926e+02    315s
  249548    1.1651369e+03   0.000000e+00   9.175953e+01    320s
  251928    1.1661525e+03   0.000000e+00   1.404968e+02    325s
  254337    1.1661616e+03   0.000000e+00   6.706213e+01    330s
  256946    1.1669216e+03   0.000000e+00   9.084896e+01    335s
  259529    1.1679309e+03   0.000000e+00   6.300728e+01    340s
  262035    1.1704351e+03   0.000000e+00   6.984218e+02    345s
  264861    1.1713733e+03   0.000000e+00   1.731207e+02    350s
  267318    1.1725357e+03   0.000000e+00   1.436704e+02    355s
  269964    1.1725500e+03   0.000000e+00   8.404238e+01    360s
  272610    1.1728116e+03   0.000000e+00   6.971399e+01    365s
  275256    1.1728228e+03   0.000000e+00   1.229795e+02    370s
  278091    1.1729292e+03   0.000000e+00   2.392975e+03    375s
  280926    1.1738195e+03   0.000000e+00   2.765096e+02    380s
  283572    1.1750921e+03   0.000000e+00   7.174989e+01    385s
  286029    1.1889730e+03   0.000000e+00   2.363089e+02    390s
  288742    1.1889913e+03   0.000000e+00   6.788880e+01    395s
  292144    1.1932391e+03   0.000000e+00   6.256860e+01    400s
  295168    1.1955456e+03   0.000000e+00   9.633881e+01    405s
  297814    1.2041557e+03   0.000000e+00   6.508193e+01    410s
  300820    1.2410938e+03   0.000000e+00   2.350931e+02    415s
  303655    1.2718102e+03   0.000000e+00   1.058428e+02    420s
  306490    1.2849156e+03   0.000000e+00   4.449457e+02    425s
  308947    1.2899090e+03   0.000000e+00   1.072858e+02    430s
  311593    1.2924369e+03   0.000000e+00   3.501929e+02    435s
  314239    1.2924838e+03   0.000000e+00   4.482247e+02    440s
  316885    1.3038922e+03   0.000000e+00   7.130242e+02    445s
  319720    1.3039164e+03   0.000000e+00   1.447983e+02    450s
  322366    1.3075635e+03   0.000000e+00   3.361290e+02    455s
  324978    1.3149972e+03   0.000000e+00   7.156448e+01    460s
  328191    1.3236413e+03   0.000000e+00   2.362644e+02    465s
  331889    1.3471505e+03   0.000000e+00   9.049825e+02    470s
  335291    1.3651998e+03   0.000000e+00   2.306576e+03    475s
  338126    1.3935127e+03   0.000000e+00   1.913094e+05    480s
  340583    1.3997472e+03   0.000000e+00   2.497973e+04    485s
  343172    1.4008893e+03   0.000000e+00   2.084959e+03    490s
  345790    1.4009255e+03   0.000000e+00   1.184647e+03    495s
  348312    1.4009800e+03   0.000000e+00   8.152413e+02    500s
  350671    1.4010206e+03   0.000000e+00   8.161554e+01    505s
  353148    1.4144649e+03   0.000000e+00   5.915162e+02    510s
  355038    1.4164170e+03   0.000000e+00   8.207689e+02    515s
  357117    1.4166807e+03   0.000000e+00   1.621896e+02    520s
  359007    1.4166934e+03   0.000000e+00   1.405363e+02    525s
  360897    1.4168214e+03   0.000000e+00   9.818568e+03    531s
  362598    1.4170699e+03   0.000000e+00   8.291196e+03    535s
  364110    1.4748206e+03   0.000000e+00   2.983190e+04    540s
  365811    1.4751179e+03   0.000000e+00   1.394233e+03    545s
  367512    1.4751512e+03   0.000000e+00   2.005698e+02    550s
  369402    1.4751658e+03   0.000000e+00   2.087431e+02    555s
  371292    1.4753431e+03   0.000000e+00   1.070677e+02    560s
  373182    1.4753569e+03   0.000000e+00   1.360388e+02    565s
  375072    1.4758124e+03   0.000000e+00   8.865644e+01    570s
  376962    1.4758308e+03   0.000000e+00   9.289787e+01    575s
  378852    1.4758485e+03   0.000000e+00   1.097845e+02    581s
  380553    1.4758638e+03   0.000000e+00   2.947282e+02    585s
  382443    1.4758865e+03   0.000000e+00   1.203950e+02    590s
  384244    1.4759135e+03   0.000000e+00   1.017980e+02    595s
  386034    1.4759430e+03   0.000000e+00   1.837853e+02    600s
  387824    1.4759663e+03   0.000000e+00   1.212534e+02    605s
  389793    1.4759937e+03   0.000000e+00   2.104189e+02    610s
  391583    1.4760155e+03   0.000000e+00   9.146920e+01    615s
  393552    1.4761128e+03   0.000000e+00   7.708308e+01    620s
  395521    1.4762616e+03   0.000000e+00   1.329359e+02    625s
  397490    1.4762856e+03   0.000000e+00   7.878133e+01    630s
  399459    1.4762991e+03   0.000000e+00   6.552920e+01    635s
  401428    1.4763111e+03   0.000000e+00   9.361758e+01    640s
  403218    1.4763333e+03   0.000000e+00   9.830771e+01    645s
  405187    1.4763573e+03   0.000000e+00   1.038180e+02    650s
  407156    1.4763883e+03   0.000000e+00   8.635648e+01    655s
  409304    1.4764287e+03   0.000000e+00   9.838910e+01    660s
  411273    1.4764949e+03   0.000000e+00   1.982242e+02    665s
  413421    1.4778683e+03   0.000000e+00   3.714498e+02    670s
  415569    1.4779054e+03   0.000000e+00   6.981316e+01    675s
  417538    1.4779450e+03   0.000000e+00   6.178929e+01    680s
  419865    1.4780222e+03   0.000000e+00   8.308734e+01    685s
  422013    1.4780604e+03   0.000000e+00   8.990721e+01    690s
  424161    1.4780864e+03   0.000000e+00   3.358746e+02    695s
  426309    1.4781033e+03   0.000000e+00   2.200137e+02    700s
  428636    1.4781649e+03   0.000000e+00   5.823749e+01    705s
  431142    1.4783236e+03   0.000000e+00   7.734481e+02    710s
  433827    1.4783970e+03   0.000000e+00   1.532186e+02    715s
  436512    1.4784688e+03   0.000000e+00   1.047845e+03    720s
  439018    1.4803460e+03   0.000000e+00   5.728268e+03    725s
  441524    1.4819404e+03   0.000000e+00   3.735234e+02    730s
  443672    1.4823908e+03   0.000000e+00   1.256619e+02    735s
  445641    1.4824131e+03   0.000000e+00   1.852396e+02    740s
  447431    1.4824327e+03   0.000000e+00   1.345082e+02    745s
  449511    1.4824563e+03   0.000000e+00   5.603830e+01    750s
  451278    1.4824828e+03   0.000000e+00   6.550479e+01    755s
  453267    1.4825251e+03   0.000000e+00   8.815124e+01    760s
  455490    1.4825676e+03   0.000000e+00   6.773631e+01    765s
  458298    1.4831151e+03   0.000000e+00   1.336199e+02    770s
  461223    1.4837174e+03   0.000000e+00   6.479807e+01    775s
  464265    1.4850160e+03   0.000000e+00   5.723580e+01    780s
  467307    1.4864446e+03   0.000000e+00   6.886221e+01    785s
  469764    1.4881197e+03   0.000000e+00   1.167566e+02    790s
  471636    1.4890125e+03   0.000000e+00   3.297715e+02    795s
  474093    1.4894771e+03   0.000000e+00   6.103312e+01    800s
  476667    1.5025767e+03   0.000000e+00   4.740338e+01    805s
  479826    1.5403035e+03   0.000000e+00   5.098263e+01    810s
  483570    1.5915640e+03   0.000000e+00   4.654931e+01    815s
  487431    1.6723775e+03   0.000000e+00   4.143173e+01    820s
  490239    1.7234403e+03   0.000000e+00   4.786198e+01    825s
  492813    1.7481731e+03   0.000000e+00   3.976739e+01    830s
  495972    1.7903918e+03   0.000000e+00   3.820581e+01    835s
  498780    1.8213778e+03   0.000000e+00   3.767081e+01    840s
  501588    1.8468693e+03   0.000000e+00   3.634380e+01    845s
  504396    1.8708657e+03   0.000000e+00   3.558852e+01    850s
  507087    1.8938641e+03   0.000000e+00   3.699080e+01    855s
  509778    1.9123636e+03   0.000000e+00   3.561289e+01    860s
  512352    1.9306138e+03   0.000000e+00   3.343544e+01    865s
  515043    1.9496151e+03   0.000000e+00   3.460365e+01    870s
  517617    1.9626164e+03   0.000000e+00   3.252518e+01    875s
  520191    1.9811183e+03   0.000000e+00   3.588158e+01    880s
  522765    1.9991202e+03   0.000000e+00   3.265500e+01    885s
  525222    2.0131219e+03   0.000000e+00   3.120895e+01    890s
  527796    2.0228731e+03   0.000000e+00   3.061873e+01    895s
  530253    2.0343745e+03   0.000000e+00   3.025037e+01    900s
  532827    2.0496269e+03   0.000000e+00   2.988842e+01    905s
  535284    2.0641294e+03   0.000000e+00   2.921181e+01    910s
  537741    2.0731311e+03   0.000000e+00   3.839541e+01    915s
  540198    2.0791329e+03   0.000000e+00   3.040377e+01    920s
  542655    2.0908859e+03   0.000000e+00   2.905969e+01    925s
  544995    2.1008876e+03   0.000000e+00   2.884601e+01    930s
  547452    2.1113891e+03   0.000000e+00   3.060503e+01    935s
  549792    2.1173900e+03   0.000000e+00   2.815362e+01    940s
  552249    2.1296420e+03   0.000000e+00   2.776776e+01    945s
  554706    2.1398937e+03   0.000000e+00   2.677930e+01    950s
  557163    2.1538962e+03   0.000000e+00   2.672532e+01    955s
  559503    2.1646483e+03   0.000000e+00   2.632211e+01    960s
  561960    2.1766510e+03   0.000000e+00   2.666654e+01    965s
  564300    2.1884035e+03   0.000000e+00   2.528083e+01    970s
  566640    2.1966555e+03   0.000000e+00   3.631958e+01    975s
  568980    2.2079090e+03   0.000000e+00   2.468421e+01    980s
  571437    2.2209126e+03   0.000000e+00   3.396699e+01    985s
  573777    2.2339152e+03   0.000000e+00   2.712363e+01    990s
  576117    2.2451671e+03   0.000000e+00   2.352335e+01    995s
  578340    2.2526685e+03   0.000000e+00   2.359356e+01   1000s
  580797    2.2654211e+03   0.000000e+00   2.524627e+01   1005s
  583020    2.2756735e+03   0.000000e+00   2.350652e+01   1010s
  585360    2.2864256e+03   0.000000e+00   2.291454e+01   1015s
  587700    2.2959274e+03   0.000000e+00   2.262672e+01   1020s
  589923    2.3054290e+03   0.000000e+00   2.558946e+01   1025s
  592263    2.3136810e+03   0.000000e+00   2.322735e+01   1030s
  594486    2.3191808e+03   0.000000e+00   2.434513e+01   1035s
  596826    2.3249320e+03   0.000000e+00   2.255858e+01   1040s
  599049    2.3329330e+03   0.000000e+00   2.088368e+01   1045s
  601272    2.3416838e+03   0.000000e+00   2.246951e+01   1050s
  603612    2.3504350e+03   0.000000e+00   2.125173e+01   1055s
  605835    2.3579361e+03   0.000000e+00   2.168237e+01   1060s
  608058    2.3681876e+03   0.000000e+00   2.148302e+01   1065s
  610398    2.3746887e+03   0.000000e+00   2.011572e+01   1070s
  612621    2.3829402e+03   0.000000e+00   1.918959e+01   1075s
  614844    2.3936927e+03   0.000000e+00   1.910717e+01   1080s
  617067    2.4006945e+03   0.000000e+00   1.979766e+01   1085s
  619407    2.4099464e+03   0.000000e+00   2.339600e+01   1090s
  621630    2.4144476e+03   0.000000e+00   1.821770e+01   1095s
  623853    2.4226995e+03   0.000000e+00   1.913387e+01   1100s
