Set parameter TokenServer to value "hpc-licenses.hpcc.usc.edu"
Set parameter TimeLimit to value 14400
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads
Optimize a model with 105043 rows, 36115 columns and 471587 nonzeros
Model fingerprint: 0xfd2abbf5
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+03]
Presolve removed 2237 rows and 1778 columns
Presolve time: 2.18s
Presolved: 102806 rows, 34337 columns, 416594 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 7321 integer (7321 binary)
Found heuristic solution: objective 1300.6706121

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   5.592750e+03      6s
   30934    8.7500000e+00   0.000000e+00   1.354766e+02     10s
   38872    4.4250000e+01   0.000000e+00   1.037974e+02     15s
   45676    7.8500000e+01   0.000000e+00   2.956578e+02     20s
   51913    1.2275000e+02   0.000000e+00   1.043200e+02     25s
   57962    1.5625004e+02   0.000000e+00   1.014313e+02     30s
   64199    2.7500042e+02   0.000000e+00   9.252472e+01     35s
   70247    3.8675088e+02   0.000000e+00   8.543274e+01     40s
   76295    4.7175137e+02   0.000000e+00   8.355821e+01     45s
   82154    5.1550399e+02   0.000000e+00   7.906826e+01     50s
   88202    5.4475865e+02   0.000000e+00   6.484517e+02     55s
   93872    5.6526963e+02   0.000000e+00   8.389598e+01     60s
   99731    5.9728068e+02   0.000000e+00   9.601119e+01     65s
  105212    6.1954650e+02   0.000000e+00   1.885539e+02     70s
  110693    6.3731739e+02   0.000000e+00   7.785900e+01     75s
  116363    6.6433688e+02   0.000000e+00   1.992530e+02     80s
  121844    6.8386058e+02   0.000000e+00   8.113139e+01     85s
  127136    6.9788369e+02   0.000000e+00   7.747954e+01     90s
  132806    7.2240167e+02   0.000000e+00   2.647351e+02     95s
  138287    7.3869745e+02   0.000000e+00   9.034611e+01    100s
  143957    7.4692924e+02   0.000000e+00   2.524054e+02    105s
  149816    7.5133087e+02   0.000000e+00   1.839498e+02    110s
  155297    7.5509438e+02   0.000000e+00   9.794655e+01    115s
  161156    7.6377081e+02   0.000000e+00   2.660034e+02    120s
  166637    7.6757728e+02   0.000000e+00   1.511413e+02    125s
  172118    7.7321261e+02   0.000000e+00   1.363638e+02    130s
  177410    7.7988375e+02   0.000000e+00   2.643695e+02    135s
  183080    7.8715556e+02   0.000000e+00   1.583436e+02    140s
  188372    7.9417687e+02   0.000000e+00   9.798234e+01    145s
  193853    8.0461631e+02   0.000000e+00   7.198096e+01    150s
  199334    8.1381531e+02   0.000000e+00   1.355524e+02    155s
  204626    8.2560367e+02   0.000000e+00   3.315235e+02    160s
  210107    8.3249381e+02   0.000000e+00   1.044767e+02    165s
  215588    8.4040088e+02   0.000000e+00   4.656848e+02    170s
  221069    8.4650111e+02   0.000000e+00   3.805162e+02    175s
  226739    8.7832336e+02   0.000000e+00   8.306423e+03    180s
  230121    8.8362193e+02   0.000000e+00   2.847781e+02    185s
  233051    8.8365208e+02   0.000000e+00   8.801199e+01    190s
  236137    8.8372955e+02   0.000000e+00   8.419313e+01    195s
  239017    8.8378514e+02   0.000000e+00   8.008645e+01    200s
  242026    8.8388077e+02   0.000000e+00   1.743998e+02    205s
  244756    8.8398126e+02   0.000000e+00   1.570511e+02    210s
  247496    9.8494560e+02   0.000000e+00   1.574879e+02    215s
  250166    9.8502271e+02   0.000000e+00   4.190628e+02    220s
  253370    1.0201459e+03   0.000000e+00   7.408373e+03    225s
  255827    1.0263359e+03   0.000000e+00   6.256822e+04    230s
  258434    1.1612247e+03   0.000000e+00   2.683478e+03    235s
  261080    1.1691133e+03   0.000000e+00   4.322495e+02    240s
  263726    1.1707469e+03   0.000000e+00   9.956292e+01    245s
  265994    1.1707791e+03   0.000000e+00   9.698128e+01    250s
  268640    1.1708770e+03   0.000000e+00   2.429522e+02    255s
  271097    1.1709949e+03   0.000000e+00   3.099666e+02    260s
  273365    1.1710859e+03   0.000000e+00   2.263050e+02    265s
  275822    1.1711453e+03   0.000000e+00   1.456716e+02    270s
  278279    1.1712361e+03   0.000000e+00   2.279621e+02    275s
  280547    1.1713491e+03   0.000000e+00   2.326084e+02    280s
  282815    1.1715104e+03   0.000000e+00   9.326003e+02    285s
  285083    1.1718424e+03   0.000000e+00   1.051648e+03    290s
  287540    1.2747948e+03   0.000000e+00   8.756248e+02    295s
  289808    1.2749120e+03   0.000000e+00   4.895964e+02    300s
  292076    1.4644244e+03   0.000000e+00   2.172546e+03    305s
  294344    1.4737278e+03   0.000000e+00   1.026545e+03    310s
  296612    1.4737675e+03   0.000000e+00   1.782508e+02    315s
  298691    1.4737952e+03   0.000000e+00   1.416360e+02    320s
  300770    1.4738133e+03   0.000000e+00   1.127935e+02    325s
  303038    1.4738305e+03   0.000000e+00   1.161824e+02    330s
  305306    1.4738557e+03   0.000000e+00   1.173883e+02    335s
  307574    1.4738715e+03   0.000000e+00   1.355769e+02    340s
  310031    1.4738980e+03   0.000000e+00   7.078325e+01    345s
  312299    1.4739119e+03   0.000000e+00   8.980157e+01    350s
  314567    1.4740595e+03   0.000000e+00   7.777430e+01    355s
  317024    1.4740698e+03   0.000000e+00   8.569207e+01    360s
  319481    1.4740828e+03   0.000000e+00   6.499098e+01    365s
  321749    1.4740901e+03   0.000000e+00   8.131925e+01    370s
  324206    1.4741732e+03   0.000000e+00   7.423068e+01    375s
  326663    1.4742025e+03   0.000000e+00   9.258082e+01    380s
  328925    1.4743130e+03   0.000000e+00   6.335537e+01    385s
  331382    1.4749683e+03   0.000000e+00   1.473550e+02    390s
  334028    1.4758086e+03   0.000000e+00   1.252155e+02    395s
  336863    1.4866987e+03   0.000000e+00   5.857605e+01    400s
  339698    1.5015684e+03   0.000000e+00   5.730867e+01    405s
  342284    1.5132257e+03   0.000000e+00   5.536284e+01    410s
  345119    1.5156521e+03   0.000000e+00   5.353023e+01    415s
  348143    1.5179224e+03   0.000000e+00   5.732724e+01    420s
  351356    1.5197026e+03   0.000000e+00   5.153570e+01    425s
  355325    1.5221699e+03   0.000000e+00   5.078659e+01    430s
  359294    1.5237743e+03   0.000000e+00   5.071490e+01    435s
  363641    1.5257486e+03   0.000000e+00   4.864910e+01    440s
  367988    1.5288527e+03   0.000000e+00   4.681803e+01    445s
  372713    1.5330204e+03   0.000000e+00   4.614849e+01    450s
  377627    1.5585723e+03   0.000000e+00   4.499219e+01    455s
  382352    1.5894301e+03   0.000000e+00   4.397656e+01    460s
  387077    1.6428148e+03   0.000000e+00   4.432794e+01    465s
  391424    1.6989739e+03   0.000000e+00   4.105469e+01    470s
  395771    1.7349369e+03   0.000000e+00   8.113919e+01    475s
  399929    1.7704219e+03   0.000000e+00   3.832924e+01    480s
  403898    1.8044101e+03   0.000000e+00   3.835055e+01    485s
  407867    1.8316539e+03   0.000000e+00   3.675703e+01    490s
  411647    1.8569000e+03   0.000000e+00   3.561719e+01    495s
  415427    1.8798988e+03   0.000000e+00   3.511503e+01    500s
  419207    1.8991462e+03   0.000000e+00   3.451411e+01    505s
  422798    1.9208951e+03   0.000000e+00   3.803388e+01    510s
  426389    1.9398960e+03   0.000000e+00   3.420263e+01    515s
  429980    1.9546472e+03   0.000000e+00   3.262240e+01    520s
  433571    1.9673959e+03   0.000000e+00   3.960776e+01    525s
  437162    1.9831458e+03   0.000000e+00   3.439075e+01    530s
  440753    2.0046452e+03   0.000000e+00   3.106319e+01    535s
  444344    2.0208951e+03   0.000000e+00   3.062340e+01    540s
  447746    2.0371461e+03   0.000000e+00   3.032250e+01    545s
  451148    2.0538961e+03   0.000000e+00   2.957504e+01    550s
  453434    2.0601468e+03   0.000000e+00   3.175850e+01    555s
  456778    2.0708982e+03   0.000000e+00   3.039214e+01    560s
  459380    2.0826489e+03   0.000000e+00   3.198406e+01    565s
  461400    2.0923991e+03   0.000000e+00   2.846341e+01    570s
  463510    2.0971490e+03   0.000000e+00   3.088993e+01    575s
  465640    2.0996495e+03   0.000000e+00   2.839746e+01    580s
  467600    2.1029004e+03   0.000000e+00   2.807120e+01    585s
  469660    2.1056514e+03   0.000000e+00   9.749447e+01    590s
  471510    2.1086520e+03   0.000000e+00   5.664929e+01    595s
  473510    2.1116526e+03   0.000000e+00   3.338298e+01    600s
  475510    2.1134031e+03   0.000000e+00   3.008779e+01    605s
  477400    2.1161534e+03   0.000000e+00   2.824367e+01    610s
  479370    2.1236536e+03   0.000000e+00   3.803375e+01    615s
  481370    2.1324039e+03   0.000000e+00   3.017193e+01    620s
  483558    2.1416542e+03   0.000000e+00   2.693886e+01    625s
  485666    2.1489046e+03   0.000000e+00   2.659813e+01    630s
  488664    2.1599052e+03   0.000000e+00   4.793425e+01    635s
  492066    2.1731554e+03   0.000000e+00   4.103789e+01    640s
  495468    2.1866555e+03   0.000000e+00   2.536907e+01    645s
  498870    2.1989058e+03   0.000000e+00   2.588704e+01    650s
  502461    2.2184068e+03   0.000000e+00   2.780706e+01    655s
  505863    2.2351570e+03   0.000000e+00   2.383723e+01    660s
  509265    2.2486573e+03   0.000000e+00   2.362759e+01    665s
  512667    2.2659077e+03   0.000000e+00   2.301054e+01    670s
  516258    2.2769079e+03   0.000000e+00   2.276187e+01    675s
  519256    2.2921583e+03   0.000000e+00   2.221591e+01    680s
  522143    2.3059087e+03   0.000000e+00   2.197101e+01    685s
  524430    2.3191592e+03   0.000000e+00   3.344737e+01    690s
  526599    2.3306596e+03   0.000000e+00   2.115834e+01    695s
  528509    2.3376598e+03   0.000000e+00   2.474839e+01    700s
  530329    2.3469103e+03   0.000000e+00   2.143058e+01    705s
  532269    2.3529106e+03   0.000000e+00   2.018928e+01    710s
  534079    2.3606609e+03   0.000000e+00   2.154236e+01    715s
  535899    2.3689112e+03   0.000000e+00   2.006960e+01    720s
  537709    2.3779117e+03   0.000000e+00   1.946903e+01    725s
  539669    2.3864119e+03   0.000000e+00   1.945827e+01    730s
  542497    2.4006624e+03   0.000000e+00   1.945228e+01    735s
  545395    2.4124130e+03   0.000000e+00   2.045590e+01    740s
  548608    2.4261640e+03   0.000000e+00   3.094421e+01    745s
  551821    2.4379148e+03   0.000000e+00   1.860927e+01    750s
  554997    2.4556659e+03   0.000000e+00   1.824826e+01    755s
  558201    2.4716667e+03   0.000000e+00   1.667501e+01    760s
  561603    2.4861671e+03   0.000000e+00   1.682861e+01    765s
  564816    2.4996690e+03   0.000000e+00   1.656114e+01    770s
  568029    2.5094195e+03   0.000000e+00   1.601859e+01    775s
  571242    2.5229198e+03   0.000000e+00   1.553114e+01    780s
  574229    2.5317885e+03   0.000000e+00   1.677006e+01    785s
  577086    2.5407893e+03   0.000000e+00   1.445098e+01    790s
  580012    2.5505388e+03   0.000000e+00   2.601243e+01    795s
  582859    2.5630381e+03   0.000000e+00   1.465074e+01    800s
  586072    2.5780380e+03   0.000000e+00   1.569560e+01    805s
  589285    2.5940380e+03   0.000000e+00   1.276860e+01    810s
  592498    2.6112888e+03   0.000000e+00   1.225580e+01    815s
  595711    2.6272897e+03   0.000000e+00   1.164580e+01    820s
  598726    2.6392907e+03   0.000000e+00   1.194752e+01    825s
  601681    2.6532915e+03   0.000000e+00   1.097132e+01    830s
  603700    2.6620426e+03   0.000000e+00   2.404343e+01    835s
  606885    2.6797941e+03   0.000000e+00   1.040891e+01    840s
  609909    2.6932946e+03   0.000000e+00   1.017890e+01    845s
  612933    2.7037947e+03   0.000000e+00   9.433037e+00    850s
  616117    2.7172950e+03   0.000000e+00   1.094516e+01    855s
  619141    2.7277954e+03   0.000000e+00   8.533920e+00    860s
  621879    2.7405468e+03   0.000000e+00   1.121662e+01    865s
  625092    2.7550474e+03   0.000000e+00   7.774446e+00    870s
  627514    2.7652980e+03   0.000000e+00   8.440514e+00    875s
  629264    2.7730484e+03   0.000000e+00   7.402545e+00    880s
  631034    2.7822992e+03   0.000000e+00   8.465183e+00    885s
  632744    2.7900496e+03   0.000000e+00   6.910264e+00    890s
  634473    2.7977999e+03   0.000000e+00   7.018705e+00    895s
  637438    2.8108007e+03   0.000000e+00   9.577527e+00    900s
  640462    2.8268021e+03   0.000000e+00   5.477630e+00    905s
  643486    2.8438035e+03   0.000000e+00   4.927678e+00    910s
  646510    2.8593040e+03   0.000000e+00   5.003052e+00    915s
  649345    2.8743041e+03   0.000000e+00   4.324851e+00    920s
  652369    2.8935547e+03   0.000000e+00   3.557721e+00    925s
  655393    2.9070554e+03   0.000000e+00   1.711697e+01    930s
