Set parameter TokenServer to value "hpc-licenses.hpcc.usc.edu"
Set parameter TimeLimit to value 14400
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads
Optimize a model with 105043 rows, 36115 columns and 471448 nonzeros
Model fingerprint: 0xa139545a
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+03]
Presolve removed 2242 rows and 1799 columns
Presolve time: 2.13s
Presolved: 102801 rows, 34316 columns, 416130 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 7300 integer (7300 binary)
Found heuristic solution: objective 1300.5360085

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   5.570000e+03      5s
   31103    1.6000000e+01   0.000000e+00   9.300000e+01     10s
   38285    8.0750000e+01   0.000000e+00   1.146508e+02     15s
   44711    1.0000000e+02   0.000000e+00   1.281559e+02     20s
   51137    1.4425000e+02   0.000000e+00   9.734706e+01     25s
   57374    1.5850000e+02   0.000000e+00   9.123091e+01     30s
   63422    1.8100000e+02   0.000000e+00   1.328522e+02     35s
   69281    1.9650000e+02   0.000000e+00   9.229812e+01     40s
   75329    2.1950000e+02   0.000000e+00   1.141168e+02     45s
   81377    2.6725000e+02   0.000000e+00   8.839952e+01     50s
   87236    3.2600000e+02   0.000000e+00   8.672263e+01     55s
   93284    3.6775000e+02   0.000000e+00   9.107157e+01     60s
   99143    3.8300000e+02   0.000000e+00   8.785048e+01     65s
  105191    3.9700000e+02   0.000000e+00   8.564075e+01     70s
  111050    4.1586364e+02   0.000000e+00   8.589864e+01     75s
  116909    4.5034091e+02   0.000000e+00   8.184787e+01     80s
  122768    4.9675107e+02   0.000000e+00   7.981082e+01     85s
  128798    5.4551777e+02   0.000000e+00   1.740152e+02     90s
  133544    5.6902481e+02   0.000000e+00   7.824471e+01     95s
  139403    6.0553405e+02   0.000000e+00   7.633724e+01    100s
  145262    6.3229818e+02   0.000000e+00   1.884191e+02    105s
  150743    6.5081483e+02   0.000000e+00   1.494126e+02    110s
  156602    6.7759020e+02   0.000000e+00   9.165826e+01    115s
  162461    7.1336694e+02   0.000000e+00   8.139323e+01    120s
