Set parameter TokenServer to value "hpc-licenses.hpcc.usc.edu"
Set parameter TimeLimit to value 14400
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads
Optimize a model with 105043 rows, 36115 columns and 457403 nonzeros
Model fingerprint: 0x1834fc73
Model has 3000 quadratic objective terms
Variable types: 27016 continuous, 9099 integer (9099 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+03]
  Objective range  [5e-01, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+03]
Presolve removed 5833 rows and 1778 columns
Presolve time: 2.11s
Presolved: 99210 rows, 34337 columns, 384806 nonzeros
Presolved model has 3000 quadratic objective terms
Variable types: 27016 continuous, 7321 integer (7321 binary)
Found heuristic solution: objective 698.2054434

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   5.957000e+03      6s
   31548    8.7500000e+00   0.000000e+00   9.833801e+01     10s
   42244    8.6250000e+01   0.000000e+00   1.103274e+02     15s
   48929    1.4675000e+02   0.000000e+00   9.386971e+01     20s
   55041    1.5725000e+02   0.000000e+00   1.048530e+02     25s
   60962    1.5925000e+02   0.000000e+00   1.223398e+02     30s
   66883    1.5975000e+02   0.000000e+00   1.249672e+02     35s
   72804    1.5975000e+02   0.000000e+00   9.277694e+01     40s
   78725    1.8087500e+02   0.000000e+00   9.246003e+01     45s
   85028    2.5325000e+02   0.000000e+00   1.058208e+02     50s
   90949    2.8007692e+02   0.000000e+00   8.977263e+01     55s
   97061    3.2475000e+02   0.000000e+00   9.734077e+01     60s
  102982    3.6363462e+02   0.000000e+00   8.755528e+01     65s
  108712    4.0700000e+02   0.000000e+00   8.630539e+01     70s
  113870    4.4125000e+02   0.000000e+00   8.886149e+01     75s
  119218    4.5925000e+02   0.000000e+00   8.734292e+01     80s
  124566    4.7750538e+02   0.000000e+00   8.883060e+01     85s
  129914    5.0376718e+02   0.000000e+00   1.240076e+02     90s
  135644    5.4003130e+02   0.000000e+00   8.851227e+01     95s
  140992    5.6754932e+02   0.000000e+00   1.117080e+02    100s
  146531    5.9832229e+02   0.000000e+00   1.079170e+03    105s
  152261    6.1905078e+02   0.000000e+00   9.859334e+01    110s
  157800    6.3474337e+02   0.000000e+00   9.124902e+01    115s
  163530    6.4955631e+02   0.000000e+00   8.703268e+01    120s
  169451    6.6459520e+02   0.000000e+00   1.293736e+02    125s
  175181    6.7376333e+02   0.000000e+00   1.124263e+02    130s
  180529    6.8662551e+02   0.000000e+00   1.384673e+02    135s
  185877    6.9453049e+02   0.000000e+00   8.216607e+01    140s
  191416    7.1533322e+02   0.000000e+00   3.427486e+02    145s
  196573    7.2380672e+02   0.000000e+00   7.677504e+01    150s
  201730    7.3034366e+02   0.000000e+00   1.239219e+02    155s
  206887    7.3445049e+02   0.000000e+00   3.704080e+02    160s
  212044    7.3906873e+02   0.000000e+00   1.721985e+02    165s
  217010    7.4321762e+02   0.000000e+00   2.428298e+02    170s
  221976    7.5253074e+02   0.000000e+00   1.526410e+02    175s
  227324    7.6332036e+02   0.000000e+00   1.807405e+02    180s
  232481    7.7468881e+02   0.000000e+00   1.625753e+02    185s
  237638    7.8032647e+02   0.000000e+00   2.657449e+02    190s
  242795    7.9372509e+02   0.000000e+00   1.123935e+02    195s
  247952    8.0274044e+02   0.000000e+00   2.338220e+02    200s
  252727    8.1123718e+02   0.000000e+00   1.244420e+02    205s
  257884    8.2635309e+02   0.000000e+00   1.095699e+02    210s
  262850    8.5581058e+02   0.000000e+00   7.745407e+01    215s
  268007    8.9057813e+02   0.000000e+00   8.441592e+01    220s
  272782    9.1159898e+02   0.000000e+00   7.510012e+01    225s
  277748    9.2737464e+02   0.000000e+00   1.087111e+02    230s
  282523    9.4039422e+02   0.000000e+00   8.333813e+01    235s
  287107    9.5191763e+02   0.000000e+00   7.427290e+01    240s
  291882    9.6168884e+02   0.000000e+00   8.469893e+01    245s
  296466    9.6821047e+02   0.000000e+00   1.744236e+02    250s
  301241    9.7648270e+02   0.000000e+00   1.940008e+02    255s
  305825    9.8425715e+02   0.000000e+00   4.314414e+02    260s
  310123    9.9452905e+02   0.000000e+00   1.039869e+02    265s
  314232    1.0048062e+03   0.000000e+00   1.196949e+03    270s
  318328    1.0113316e+03   0.000000e+00   1.752004e+02    275s
  322476    1.0236051e+03   0.000000e+00   7.450517e+01    280s
  326446    1.0283885e+03   0.000000e+00   5.310760e+03    285s
  330808    1.0309338e+03   0.000000e+00   5.276823e+02    290s
  335378    1.0327125e+03   0.000000e+00   1.240557e+02    295s
