,,,,,,Direct Approach,,,,,,,,Doubly Robust,,,,,,,,IPW,,,,,,,,Kalllus,,,,,,
dataset,nrow,depth,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,gap,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test
data_train_enc_1,2000,0,3600,2,1130.374666,0,1.664053917,204.622319,29.6,12.25,1816.432422,27.36581718,11.32715872,0,1.681152105,204.622319,29.6,12.25,1816.432422,27.36581718,11.32715872,0,0.118614912,204.622319,29.6,12.25,1816.432422,27.36581718,11.32715872,0,204.622319,29.6,12.25,1816.432422,27.36581718,11.32715872
data_train_enc_1,2000,1,3600,2,,0,94.902389,228.134205,27.2,12.45,1996.29163,24.3973998,11.3156532,0,86.9552181,228.134205,27.2,12.45,1996.29163,24.3973998,11.3156532,0,6.465750933,225.4678774,26.2,13.25,1940.388829,25.23154806,11.38468619,0,204.622319,29.6,12.25,1816.432422,27.36581718,11.32715872
data_train_enc_1,2000,2,3600,9,1154.598711,12.80347476,5627.290058,215.4906254,28.35,11.9,1934.140265,25.59972387,11.29839498,13.38665238,5032.043142,213.6117072,28.55,12,1936.519148,25.59397112,11.4594719,0,785.19519,267.4227283,20.9,14.1,2301.772898,19.80095496,11.69533452,300.55,307.6091,13.4,24.9,2683.044,13.56498,25.55945
data_train_enc_2,2000,0,3600,2,1154.598711,0,1.207177162,200.7300809,28.15,12.2,1820.32466,27.53264684,11.33291147,0,1.226217031,200.7300809,28.15,12.2,1820.32466,27.53264684,11.33291147,0,0.157005787,200.7300809,28.15,12.2,1820.32466,27.53264684,11.33291147,0,200.7300809,28.15,12.2,1820.32466,27.53264684,11.33291147
data_train_enc_2,2000,1,3600,2,1131.209928,0,113.7171807,200.5025808,28.2,12.15,1821.986988,27.50963585,11.37318069,0,114.437202,200.5025808,28.2,12.15,1821.986988,27.50963585,11.37318069,0,10.38167977,210.4669381,27.3,13.2,1899.80058,26.16349307,11.37893344,0,200.7300809,28.15,12.2,1820.32466,27.53264684,11.33291147
data_train_enc_2,2000,2,3600,9,1135.341731,11.80159239,3605.366331,215.9321592,26.65,12.1,1921.968493,25.84709199,11.29264224,13.9432785,3606.232681,209.483214,27.2,12.2,1881.658483,26.52016338,11.37893344,0,695.4805419,271.5471926,20.2,13.75,2359.974258,19.61686705,11.52275211,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0.162567139,218.1737089,26.15,10.55,1802.881032,27.76275672,11.52275211,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,8.648276091,235.8921889,22.95,11.75,2005.202172,24.35137778,11.69533452,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,646.8674898,242.8339803,22,12.6,2139.869457,21.96974055,11.64931255,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0.139658928,212.7599453,26.65,11.3,1808.294796,27.70522925,11.43646091,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,8.009943962,226.0261199,24.6,12,1910.130761,26.12897659,11.30414773,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,635.7260299,282.9271057,18.95,13.8,2453.833594,17.85652649,11.89092792,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0.10722208,214.1343383,27.05,12.1,1806.920403,27.65920727,11.34441696,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,8.673730135,282.5446558,17.55,11.15,2500.811705,16.58516942,10.93021918,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,731.5658071,269.2850007,18.85,13.55,2367.529667,18.84024622,11.68958178,,,,,,,
