Approach,Dataset,Num_Rows,Depth,Branching Limit,Time Limit,Status,Objective Value,Gap,Solving Time,Error train,% Best Treatment (Train),% Classified Correctly (Train),Error Test,% Best Treatment (Test),% Classified Correctly (Test),Propensity score
Direct,data_train_0.1_1,4000,0,100,3600,2,1995.333064,0,0.565285206,237.1600309,50.15,70.525,571.541754,50.15,69.3,0
Direct,data_train_0.1_1,4000,0,100,3600,2,2001.278359,0,0.816860199,237.1600309,50.15,70.525,571.541754,50.15,69.3,1
Direct,data_train_0.1_1,4000,1,100,3600,2,2206.319077,0,3.12975502,25.61411059,82.875,49.3,73.9984233,80.32,49.45,0
Direct,data_train_0.1_1,4000,1,100,3600,2,2235.204396,0,5.192845106,25.61411059,82.875,49.3,73.9984233,80.32,49.45,1
Direct,data_train_0.1_1,4000,2,100,3600,2,2206.319077,0,16.562325,25.61411059,82.875,49.3,73.9984233,80.32,49.45,0
Direct,data_train_0.1_1,4000,2,100,3600,2,2235.204396,0.001447914,32.60304928,25.61411059,82.875,49.3,73.9984233,80.32,49.45,1
Direct,data_train_0.1_2,4000,0,100,3600,2,2041.055043,0,0.558625698,212.551951,52.075,69.45,597.3181716,48.54,70.78,0
Direct,data_train_0.1_2,4000,0,100,3600,2,2091.453043,0,0.76831007,212.551951,52.075,69.45,597.3181716,48.54,70.78,1
Direct,data_train_0.1_2,4000,1,100,3600,2,2220.338553,0,3.112208128,30.66249591,80.45,49.875,83.43746798,79.38,49.86,0
Direct,data_train_0.1_2,4000,1,100,3600,2,2199.797456,0,4.894766092,101.1997804,70.625,29.2,243.1433078,71.19,30.73,1
Direct,data_train_0.1_2,4000,2,100,3600,2,2220.338553,0,16.97918582,30.66249591,80.45,49.875,83.43746798,79.38,49.86,0
Direct,data_train_0.1_2,4000,2,100,3600,2,2246.899511,0,29.66009808,56.13957089,77.825,49,170.0421082,74.33,50.07,1
Direct,data_train_0.1_3,4000,0,100,3600,2,1995.193597,0,0.579838991,224.1446704,50.775,29.925,567.9586921,50.01,30.14,0
Direct,data_train_0.1_3,4000,0,100,3600,2,2104.307065,0,0.849964619,228.3180243,49.225,70.075,564.6932192,49.99,69.86,1
Direct,data_train_0.1_3,4000,1,100,3600,2,2183.82875,0,3.241552114,35.85631023,78.8,49.95,99.56750609,77.58,50.35,0
Direct,data_train_0.1_3,4000,1,100,3600,2,2232.924743,0,5.059124231,98.48149468,71.125,30.025,241.6178506,71.86,29.89,1
Direct,data_train_0.1_3,4000,2,100,3600,2,2183.82875,0.008080668,24.53708696,35.85631023,78.8,49.95,99.56750609,77.58,50.35,0
Direct,data_train_0.1_3,4000,2,100,3600,2,2266.362038,0,34.07728624,65.64343283,75.1,30.6,176.2010538,74.18,29.95,1
Direct,data_train_0.1_4,4000,0,100,3600,2,2034.17862,0,0.618135691,197.1600046,52.85,68.4,557.4983917,50.08,70.09,0
Direct,data_train_0.1_4,4000,0,100,3600,2,1975.18208,0,0.855715752,260.6617853,47.15,31.6,573.0007725,49.92,29.91,1
Direct,data_train_0.1_4,4000,1,100,3600,2,2190.505349,0,3.327229023,41.16114082,77.75,50.15,100.8144178,77.95,49.72,0
Direct,data_train_0.1_4,4000,1,100,3600,2,2137.681563,0,5.483013153,41.16114082,77.75,50.15,100.8144178,77.95,49.72,1
Direct,data_train_0.1_4,4000,2,100,3600,2,2190.505349,0,18.63274312,41.16114082,77.75,50.15,100.8144178,77.95,49.72,0
Direct,data_train_0.1_4,4000,2,100,3600,2,2137.681563,0.000364715,24.29870367,41.16114082,77.75,50.15,100.8144178,77.95,49.72,1
Direct,data_train_0.1_5,4000,0,100,3600,2,2002.689461,0,0.658535957,211.7263754,52.225,31.675,543.1384189,51.34,30.54,0
